time,drone0_roll,drone0_pitch,drone0_yaw,drone0_des_qw,drone0_des_qx,drone0_des_qy,drone0_des_qz,drone0_err_x,drone0_err_y,drone0_err_z,drone1_roll,drone1_pitch,drone1_yaw,drone1_des_qw,drone1_des_qx,drone1_des_qy,drone1_des_qz,drone1_err_x,drone1_err_y,drone1_err_z,drone2_roll,drone2_pitch,drone2_yaw,drone2_des_qw,drone2_des_qx,drone2_des_qy,drone2_des_qz,drone2_err_x,drone2_err_y,drone2_err_z
0.000000,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0
0.010000,0.000000,0.000184,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0
0.020000,0.000000,0.000643,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0
0.030000,0.000000,0.001329,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0
0.040000,0.000000,0.002239,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0
0.050000,0.000000,0.003379,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000157,-0.000088,-0.000000,1,0,0,0,0,0,0
0.060000,0.000000,0.004754,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000294,-0.000167,-0.000000,1,0,0,0,0,0,0
0.070000,0.000000,0.006348,0.000000,1,0,0,0,0,0,0,-0.000108,-0.000112,0.000000,1,0,0,0,0,0,0,0.000614,-0.000348,-0.000000,1,0,0,0,0,0,0
0.080000,0.000000,0.008115,0.000000,1,0,0,0,0,0,0,-0.000271,-0.000289,0.000000,1,0,0,0,0,0,0,0.000979,-0.000557,-0.000000,1,0,0,0,0,0,0
0.090000,0.000000,0.010007,0.000000,1,0,0,0,0,0,0,-0.000396,-0.000426,0.000000,1,0,0,0,0,0,0,0.001465,-0.000836,-0.000001,1,0,0,0,0,0,0
0.100000,0.000000,0.011987,0.000000,1,0,0,0,0,0,0,-0.000656,-0.000703,0.000000,1,0,0,0,0,0,0,0.002070,-0.001184,-0.000001,1,0,0,0,0,0,0
0.110000,0.000000,0.014038,0.000000,1,0,0,0,0,0,0,-0.000958,-0.001030,0.000000,1,0,0,0,0,0,0,0.002781,-0.001592,-0.000002,1,0,0,0,0,0,0
0.120000,0.000000,0.016126,0.000000,1,0,0,0,0,0,0,-0.001276,-0.001374,0.000001,1,0,0,0,0,0,0,0.003608,-0.002068,-0.000004,1,0,0,0,0,0,0
0.130000,0.000000,0.018171,0.000000,1,0,0,0,0,0,0,-0.001713,-0.001841,0.000002,1,0,0,0,0,0,0,0.004560,-0.002616,-0.000006,1,0,0,0,0,0,0
0.140000,0.000000,0.020176,0.000000,1,0,0,0,0,0,0,-0.002152,-0.002311,0.000002,1,0,0,0,0,0,0,0.005644,-0.003240,-0.000009,1,0,0,0,0,0,0
0.150000,0.000000,0.022175,0.000000,1,0,0,0,0,0,0,-0.002707,-0.002897,0.000004,1,0,0,0,0,0,0,0.006865,-0.003944,-0.000013,1,0,0,0,0,0,0
0.160000,0.000000,0.024176,0.000000,1,0,0,0,0,0,0,-0.003293,-0.003513,0.000006,1,0,0,0,0,0,0,0.008193,-0.004710,-0.000019,1,0,0,0,0,0,0
0.170000,0.000000,0.026168,0.000000,1,0,0,0,0,0,0,-0.003991,-0.004235,0.000008,1,0,0,0,0,0,0,0.009585,-0.005513,-0.000026,1,0,0,0,0,0,0
0.180000,0.000000,0.028142,0.000000,1,0,0,0,0,0,0,-0.004751,-0.005015,0.000012,1,0,0,0,0,0,0,0.011016,-0.006340,-0.000035,1,0,0,0,0,0,0
0.190000,0.000000,0.030089,0.000000,1,0,0,0,0,0,0,-0.005617,-0.005891,0.000016,1,0,0,0,0,0,0,0.012479,-0.007186,-0.000045,1,0,0,0,0,0,0
0.200000,0.000000,0.032002,0.000000,1,0,0,0,0,0,0,-0.006570,-0.006841,0.000022,1,0,0,0,0,0,0,0.013963,-0.008045,-0.000056,1,0,0,0,0,0,0
0.210000,-0.000000,0.033876,-0.000000,1,0,0,0,0,0,0,-0.007620,-0.007871,0.000029,1,0,0,0,0,0,0,0.015447,-0.008903,-0.000069,1,0,0,0,0,0,0
0.220000,-0.000000,0.035704,-0.000000,1,0,0,0,0,0,0,-0.008768,-0.008975,0.000038,1,0,0,0,0,0,0,0.016898,-0.009744,-0.000082,1,0,0,0,0,0,0
0.230000,-0.000000,0.037482,-0.000000,1,0,0,0,0,0,0,-0.009974,-0.010114,0.000049,1,0,0,0,0,0,0,0.018292,-0.010552,-0.000096,1,0,0,0,0,0,0
0.240000,-0.000000,0.039198,-0.000000,1,0,0,0,0,0,0,-0.011205,-0.011255,0.000061,1,0,0,0,0,0,0,0.019641,-0.011333,-0.000111,1,0,0,0,0,0,0
0.250000,-0.000000,0.040840,-0.000000,1,0,0,0,0,0,0,-0.012459,-0.012392,0.000075,1,0,0,0,0,0,0,0.020953,-0.012093,-0.000127,1,0,0,0,0,0,0
0.260000,-0.000000,0.042391,-0.000000,1,0,0,0,0,0,0,-0.013728,-0.013514,0.000089,1,0,0,0,0,0,0,0.022231,-0.012833,-0.000142,1,0,0,0,0,0,0
0.270000,-0.000000,0.043834,-0.000000,1,0,0,0,0,0,0,-0.014981,-0.014596,0.000105,1,0,0,0,0,0,0,0.023475,-0.013553,-0.000159,1,0,0,0,0,0,0
0.280000,-0.000000,0.045157,-0.000000,1,0,0,0,0,0,0,-0.016189,-0.015617,0.000121,1,0,0,0,0,0,0,0.024683,-0.014253,-0.000176,1,0,0,0,0,0,0
0.290000,-0.000000,0.046353,-0.000000,1,0,0,0,0,0,0,-0.017354,-0.016573,0.000137,1,0,0,0,0,0,0,0.025848,-0.014927,-0.000193,1,0,0,0,0,0,0
0.300000,-0.000000,0.047413,-0.000000,1,0,0,0,0,0,0,-0.018468,-0.017457,0.000154,1,0,0,0,0,0,0,0.026952,-0.015566,-0.000210,1,0,0,0,0,0,0
0.310000,-0.000000,0.048329,-0.000000,1,0,0,0,0,0,0,-0.019514,-0.018258,0.000169,1,0,0,0,0,0,0,0.027972,-0.016158,-0.000226,1,0,0,0,0,0,0
0.320000,-0.000000,0.049084,-0.000000,1,0,0,0,0,0,0,-0.020492,-0.018974,0.000184,1,0,0,0,0,0,0,0.028894,-0.016693,-0.000241,1,0,0,0,0,0,0
0.330000,-0.000000,0.049671,-0.000000,1,0,0,0,0,0,0,-0.021416,-0.019608,0.000198,1,0,0,0,0,0,0,0.029708,-0.017165,-0.000255,1,0,0,0,0,0,0
0.340000,-0.000000,0.050085,-0.000000,1,0,0,0,0,0,0,-0.022295,-0.020161,0.000211,1,0,0,0,0,0,0,0.030408,-0.017572,-0.000267,1,0,0,0,0,0,0
0.350000,-0.000000,0.050326,-0.000000,1,0,0,0,0,0,0,-0.023126,-0.020627,0.000222,1,0,0,0,0,0,0,0.030986,-0.017909,-0.000277,1,0,0,0,0,0,0
0.360000,-0.000000,0.050396,-0.000000,1,0,0,0,0,0,0,-0.023895,-0.021000,0.000232,1,0,0,0,0,0,0,0.031429,-0.018167,-0.000286,1,0,0,0,0,0,0
0.370000,-0.000000,0.050297,-0.000000,1,0,0,0,0,0,0,-0.024593,-0.021272,0.000239,1,0,0,0,0,0,0,0.031725,-0.018341,-0.000291,1,0,0,0,0,0,0
0.380000,-0.000000,0.050034,-0.000000,1,0,0,0,0,0,0,-0.025210,-0.021440,0.000245,1,0,0,0,0,0,0,0.031874,-0.018430,-0.000294,1,0,0,0,0,0,0
0.390000,-0.000000,0.049618,-0.000000,1,0,0,0,0,0,0,-0.025739,-0.021503,0.000248,1,0,0,0,0,0,0,0.031878,-0.018435,-0.000294,1,0,0,0,0,0,0
0.400000,-0.000000,0.049060,-0.000000,1,0,0,0,0,0,0,-0.026177,-0.021459,0.000248,1,0,0,0,0,0,0,0.031744,-0.018359,-0.000292,1,0,0,0,0,0,0
0.410000,-0.000000,0.048375,-0.000000,1,0,0,0,0,0,0,-0.026519,-0.021309,0.000246,1,0,0,0,0,0,0,0.031478,-0.018207,-0.000287,1,0,0,0,0,0,0
0.420000,-0.000000,0.047578,-0.000000,1,0,0,0,0,0,0,-0.026757,-0.021056,0.000241,1,0,0,0,0,0,0,0.031087,-0.017983,-0.000280,1,0,0,0,0,0,0
0.430000,-0.000000,0.046684,-0.000000,1,0,0,0,0,0,0,-0.026882,-0.020706,0.000234,1,0,0,0,0,0,0,0.030578,-0.017690,-0.000271,1,0,0,0,0,0,0
