time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,-0.000000,-0.049061,0.000000,0.003633,0.000000,19.784225,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.020000,-0.000000,-0.069671,0.000000,0.012836,0.000000,19.977689,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.030000,-0.000000,-0.082510,0.000000,0.026888,0.000000,20.227541,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.040000,-0.000000,-0.093333,0.000000,0.045817,0.000000,20.462018,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.050000,-0.000000,-0.103790,0.000000,0.069818,0.000000,20.664962,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,-0.017923,0.010189,-0.000000,-0.001968,-0.003527,22.447051
0.060000,-0.000000,-0.112776,0.000000,0.100162,0.000000,21.066675,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,-0.025968,0.014223,-0.000000,-0.002803,-0.004943,16.798865
0.070000,-0.000000,-0.115653,0.000000,0.138618,0.000000,21.835379,0.031789,0.032930,0.000000,-0.002488,0.002398,22.258217,-0.030258,0.017216,-0.000000,-0.007923,-0.013968,22.753517
0.080000,-0.000000,-0.112901,0.000000,0.184928,0.000000,22.787302,0.011496,0.012712,0.000000,-0.006578,0.006179,22.780361,-0.047848,0.026656,-0.000001,-0.011795,-0.020717,21.161500
0.090000,-0.000000,-0.106995,0.000000,0.237179,0.000000,23.700102,0.005596,0.006284,0.000000,-0.009825,0.009137,23.056577,-0.044933,0.025318,-0.000002,-0.017072,-0.029904,20.418409
0.100000,-0.000000,-0.101801,0.000000,0.291692,0.000000,24.332422,0.036158,0.037920,0.000001,-0.015716,0.014668,22.360339,-0.049022,0.027814,-0.000002,-0.026528,-0.046397,22.411720
0.110000,-0.000000,-0.098471,0.000000,0.349203,0.000000,24.874618,0.018335,0.019980,0.000001,-0.024075,0.022383,23.371918,-0.057978,0.032772,-0.000004,-0.035107,-0.061318,22.049133
0.120000,-0.000000,-0.089277,0.000000,0.421220,0.000000,26.118643,0.037939,0.038988,0.000003,-0.027834,0.025858,20.262087,-0.063742,0.036032,-0.000005,-0.045067,-0.078623,21.793350
0.130000,-0.000000,-0.076171,0.000000,0.482372,0.000000,26.542972,0.028491,0.030106,0.000003,-0.043410,0.040392,23.577461,-0.068911,0.039011,-0.000007,-0.057210,-0.099721,21.869171
0.140000,-0.000000,-0.076924,0.000000,0.527615,0.000000,26.147564,0.036893,0.037503,0.000007,-0.047182,0.043935,20.414941,-0.074913,0.042463,-0.000009,-0.071710,-0.124906,22.129700
0.150000,-0.000000,-0.080492,0.000000,0.572200,0.000000,25.799357,0.037337,0.038122,0.000008,-0.067864,0.063426,23.426904,-0.080268,0.045585,-0.000012,-0.089930,-0.156547,22.802934
0.160000,-0.000000,-0.083131,0.000000,0.619849,0.000000,25.634161,0.042969,0.042727,0.000014,-0.074674,0.070011,21.258567,-0.078076,0.044565,-0.000012,-0.112410,-0.195551,23.867400
0.170000,-0.000000,-0.084333,0.000000,0.669045,0.000000,25.561194,0.045834,0.045318,0.000018,-0.099467,0.093737,23.488281,-0.073469,0.042103,-0.000012,-0.136448,-0.237205,24.747585
0.180000,-0.000000,-0.084818,0.000000,0.718622,0.000000,25.528804,0.053135,0.051300,0.000029,-0.111289,0.105436,22.190545,-0.070044,0.040220,-0.000013,-0.159945,-0.277877,25.224452
0.190000,-0.000000,-0.085077,0.000000,0.768202,0.000000,25.523437,0.054082,0.051703,0.000036,-0.138387,0.131960,23.492116,-0.068433,0.039340,-0.000013,-0.183601,-0.318806,25.546698
0.200000,-0.000000,-0.085313,0.000000,0.817916,0.000000,25.549524,0.062448,0.058089,0.000056,-0.157388,0.151154,23.007371,-0.066356,0.038236,-0.000013,-0.208786,-0.362370,25.950342
