time,load_gps_x,load_gps_y,load_gps_z,drone0_gps_x,drone0_gps_y,drone0_gps_z,drone1_gps_x,drone1_gps_y,drone1_gps_z,drone2_gps_x,drone2_gps_y,drone2_gps_z
0.000000,-0.025348,-0.007703,0.121531,0.613921,-0.000968,1.223923,-0.319462,0.495921,1.208310,-0.272066,-0.527842,1.141047
0.010000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.020000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.030000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.040000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.050000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.060000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.070000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.080000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.090000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.100000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,-0.319594,0.506479,1.044346,-0.315318,-0.519186,1.219552
0.110000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.120000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.130000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.140000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.150000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.160000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.170000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.180000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.190000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.200000,0.021567,0.014408,0.149652,0.579941,0.031519,1.177662,-0.285451,0.535485,1.210569,-0.287983,-0.508670,1.240753
0.210000,-0.014294,-0.001565,0.062271,0.584136,0.009441,1.233769,-0.299809,0.511822,1.137814,-0.277214,-0.502837,1.211824
0.220000,-0.014294,-0.001565,0.062271,0.584136,0.009441,1.233769,-0.299809,0.511822,1.137814,-0.277214,-0.502837,1.211824
0.230000,-0.014294,-0.001565,0.062271,0.584136,0.009441,1.233769,-0.299809,0.511822,1.137814,-0.277214,-0.502837,1.211824
0.240000,-0.014294,-0.001565,0.062271,0.584136,0.009441,1.233769,-0.299809,0.511822,1.137814,-0.277214,-0.502837,1.211824
