time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.000000,1.169968,-0.621210,-0.000000,-0.991426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,1.678148,-0.887584,-0.000000,-1.424211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,1.979600,-1.035420,-0.000000,-1.687223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,2.259838,-1.161188,-0.000000,-1.938687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,2.554354,-1.282413,-0.000000,-2.209104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,2.874184,-1.404814,-0.000000,-2.507475,0.000000,0.000000,0.000000,0.000000,0.228404,0.054965,0.095202,-0.200210
0.060000,3.093791,-1.470332,-0.000000,-2.722071,0.000000,0.000000,0.000000,0.000000,3.191124,0.734706,1.272534,-2.832691
0.070000,3.102224,-1.434571,-0.000000,-2.750600,0.349679,0.117849,-0.108361,-0.310878,0.573218,0.125796,0.217880,-0.515055
0.080000,2.966082,-1.336243,-0.000000,-2.648036,0.239138,0.076244,-0.070106,-0.215543,1.674759,0.348798,0.604118,-1.522564
0.090000,2.788823,-1.224398,-0.000000,-2.505671,0.211123,0.062912,-0.057847,-0.193051,2.362368,0.467559,0.809809,-2.169420
0.100000,2.702738,-1.155001,-0.000000,-2.443515,0.989258,0.275662,-0.254335,-0.915399,1.715150,0.324612,0.562223,-1.587537
0.110000,2.621452,-1.087537,-0.000000,-2.385220,0.658915,0.171675,-0.159451,-0.615851,2.181661,0.398532,0.690251,-2.030854
0.120000,2.111001,-0.846157,-0.000000,-1.933996,2.509776,0.610674,-0.572310,-2.366118,2.659733,0.474351,0.821572,-2.484792
0.130000,1.968026,-0.757249,-0.000000,-1.816508,1.121414,0.259237,-0.245983,-1.062947,2.979142,0.524321,0.908124,-2.788492
0.140000,2.201249,-0.807670,-0.000000,-2.047722,2.978607,0.658497,-0.633830,-2.834915,3.213743,0.562044,0.973467,-3.010749
0.150000,2.472077,-0.860126,-0.000000,-2.317617,1.768568,0.381473,-0.373000,-1.686174,3.223282,0.561062,0.971773,-3.021657
0.160000,2.676587,-0.880259,-0.000000,-2.527699,3.156410,0.670473,-0.666454,-3.011516,2.979128,0.514228,0.890665,-2.795977
0.170000,2.852432,-0.886314,-0.000000,-2.711239,2.341752,0.494051,-0.499654,-2.233845,2.758788,0.468864,0.812104,-2.594526
0.180000,3.021126,-0.889098,-0.000000,-2.887336,3.330048,0.697183,-0.718430,-3.176006,2.695330,0.447310,0.774783,-2.542524
0.190000,3.187396,-0.892719,-0.000000,-3.059828,3.020825,0.623324,-0.656339,-2.882025,2.683878,0.431554,0.747503,-2.541299
0.200000,3.347019,-0.897523,-0.000000,-3.224436,3.584118,0.720676,-0.778618,-3.423489,2.605152,0.403248,0.698485,-2.477160
0.210000,3.493567,-0.902087,-0.000000,-3.375092,3.910787,0.757032,-0.843643,-3.742917,2.383951,0.353385,0.612125,-2.276762
0.220000,3.639407,-0.908707,-0.000000,-3.524136,3.699801,0.683245,-0.789723,-3.549372,2.089221,0.295186,0.511325,-2.004060
0.230000,3.731654,-0.902959,-0.000000,-3.620760,3.328691,0.583995,-0.703220,-3.200721,2.168999,0.290759,0.503667,-2.089577
0.240000,3.759765,-0.882090,-0.000000,-3.654825,3.228639,0.538032,-0.676847,-3.110709,2.379487,0.301347,0.522018,-2.301878
0.250000,3.728725,-0.847836,-0.000000,-3.631055,3.179116,0.504432,-0.663815,-3.067846,2.644369,0.315121,0.545886,-2.568150
0.260000,3.645946,-0.803014,-0.000000,-3.556415,2.871161,0.434641,-0.598735,-2.774197,2.939021,0.328162,0.568483,-2.864783
0.270000,3.551800,-0.757523,-0.000000,-3.470078,2.383456,0.343634,-0.496251,-2.305756,3.249457,0.338227,0.585923,-3.178249
0.280000,3.536400,-0.730352,-0.000000,-3.460161,2.275448,0.310474,-0.471382,-2.204329,3.499887,0.337506,0.584675,-3.434160
0.290000,3.523304,-0.704710,-0.000000,-3.452109,2.168096,0.276926,-0.444100,-2.103979,3.573284,0.317107,0.549339,-3.516537
