time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.056421,-0.131289,9.828147,-0.001308,0.017155,-0.004724,-0.037446,0.042619,9.844970,-0.002608,0.009186,0.004860,0.056325,0.050866,9.882346,-0.000421,-0.007021,-0.000148
0.020000,-0.265554,0.043299,7.976522,-0.013094,0.044486,0.004105,0.087665,0.028360,9.776859,0.002072,-0.002465,0.011622,0.062487,-0.014957,9.752403,-0.005682,-0.004335,0.002975
0.030000,-0.461511,-0.015160,8.064892,-0.008129,0.073399,-0.008204,-0.113678,0.007725,9.743318,0.002857,0.008222,-0.001574,-0.040420,0.030838,9.767589,-0.008051,-0.001144,0.004618
0.040000,-0.437607,0.037631,7.996656,-0.004062,0.083719,0.006105,0.036860,0.080462,9.771428,-0.005616,0.010384,-0.008113,-0.076463,0.049768,9.823336,-0.007778,-0.006003,-0.010904
0.050000,-0.493462,0.015641,8.068427,0.003383,0.108973,0.009897,-0.094801,0.049001,9.846656,-0.005026,-0.007684,0.008296,0.006967,-0.009581,9.879789,0.014742,-0.014191,0.007059
0.060000,-0.580259,0.089280,7.936930,-0.000028,0.143140,0.001726,-0.035895,0.095874,9.789440,0.014976,-0.007184,0.002374,-0.008642,0.019178,9.788805,0.000175,0.005584,-0.002307
0.070000,-0.558459,0.084427,8.122241,-0.010800,0.163659,0.001589,0.018526,0.041591,9.874617,0.003165,-0.016270,0.003625,0.229010,0.351320,7.752582,0.036354,-0.021320,-0.010030
0.080000,-0.593776,0.067421,8.492335,-0.005192,0.172260,0.009847,0.014322,-0.087433,9.750712,0.002741,-0.011895,0.009020,0.170531,0.226125,9.471519,0.022122,-0.022242,0.005775
0.090000,-0.585224,0.119669,8.947389,0.004245,0.186807,0.000632,0.006171,-0.144216,9.995255,-0.003902,-0.012574,-0.000049,0.083973,0.246603,9.088648,0.040786,-0.032770,0.002861
0.100000,-0.496743,-0.033993,9.369366,0.002269,0.202377,-0.002657,0.357652,-0.315535,7.193467,-0.026787,-0.023017,0.001838,0.152637,0.374703,8.279790,0.069470,-0.039796,-0.000514
0.110000,-0.436394,0.012463,9.695153,-0.007293,0.210918,-0.005007,0.141199,-0.150346,9.830623,-0.036786,-0.033873,0.010523,0.177310,0.363173,8.469715,0.075009,-0.035652,0.006854
0.120000,-0.465021,0.005297,9.951812,0.006799,0.221691,-0.009778,0.163405,0.018933,10.052022,-0.043160,-0.041442,0.002803,0.200715,0.372429,8.767818,0.081160,-0.048168,0.009896
0.130000,-0.298625,0.018872,10.855816,0.011420,0.209382,-0.008181,0.139455,-0.167377,8.653978,-0.049061,-0.040324,-0.008709,0.184495,0.375304,8.609841,0.098701,-0.057307,0.002759
0.140000,-0.269124,0.022666,10.726985,0.000781,0.204585,-0.001854,0.075735,-0.127934,10.007310,-0.036856,-0.040739,-0.002231,0.159717,0.303953,8.436045,0.115449,-0.066019,0.004728
0.150000,-0.474620,-0.046767,10.550373,-0.001891,0.191921,-0.004651,0.255729,-0.114596,8.311670,-0.051287,-0.054992,0.014826,0.269561,0.454760,8.361705,0.123099,-0.065661,-0.000121
0.160000,-0.318704,0.004469,10.326812,-0.007697,0.209160,0.003446,0.146741,-0.006833,9.821238,-0.050469,-0.050224,-0.003333,0.185658,0.454414,8.918410,0.129483,-0.083403,-0.007976
0.170000,-0.255428,0.090781,10.123031,-0.000676,0.200647,-0.009117,0.349507,-0.261898,8.377495,-0.073360,-0.076997,0.003881,0.156352,0.326252,9.428897,0.148971,-0.088662,0.001844
