time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000011,0.000000,0.159517,0.002065,0.000000,-0.094805,1.000000,0.000000,-0.000010,0.000000,0.000000,-0.004031,0.000000,0.599983,0.000000,1.199920,-0.003425,0.000000,-0.016320,1.000000,0.000000,0.000092,0.000000,0.000000,0.033340,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000042,0.000000,0.158085,0.004180,0.000000,-0.189530,1.000000,0.000000,-0.000041,0.000000,0.000000,-0.008150,0.000000,0.599928,0.000000,1.199667,-0.007625,0.000000,-0.033925,1.000000,0.000000,0.000321,0.000000,0.000000,0.057316,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,0.000096,0.000000,0.155709,0.006585,0.000000,-0.283793,1.000000,0.000000,-0.000093,0.000000,0.000000,-0.012813,0.000000,0.599828,0.000000,1.199238,-0.012366,0.000000,-0.051629,1.000000,0.000000,0.000665,0.000000,0.000000,0.079546,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.000175,0.000000,0.152393,0.009418,0.000000,-0.377376,1.000000,0.000000,-0.000171,0.000000,0.000000,-0.018267,0.000000,0.599678,0.000000,1.198631,-0.017574,0.000000,-0.069395,0.999999,0.000000,0.001120,0.000000,0.000000,0.102090,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.000270,0.000000,0.148413,0.007870,0.000000,-0.304554,1.000000,0.000000,-0.000147,0.000000,0.000000,0.052717,0.000000,0.599474,0.000000,1.197845,-0.023223,0.000000,-0.087447,0.999999,0.000000,0.001689,0.000000,0.000000,0.125493,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.299991,-0.519600,1.199910,0.001131,0.001958,-0.011357,1.000000,0.000079,-0.000044,0.000000,0.014746,-0.008469,0.000000
0.060000,0.000355,0.000000,0.147474,0.008857,0.000000,0.021334,1.000000,0.000000,0.000138,0.000000,0.000000,0.059536,0.000000,0.599212,0.000000,1.196878,-0.029215,0.000000,-0.105584,0.999997,0.000000,0.002377,0.000000,0.000000,0.148898,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.299979,-0.519578,1.199795,0.001701,0.002946,-0.014752,1.000000,0.000147,-0.000083,0.000000,0.021572,-0.012167,0.000000
0.070000,0.000444,0.000000,0.147913,0.008906,0.000000,0.051392,1.000000,0.000000,0.000437,0.000000,0.000000,0.059794,0.000000,0.598889,0.000000,1.195737,-0.035109,0.000000,-0.121603,0.999995,0.000000,0.003174,0.000000,0.000000,0.168679,0.000000,-0.299991,0.519607,1.199928,0.002239,-0.002059,-0.017411,1.000000,-0.000054,-0.000056,-0.000000,-0.020961,-0.022172,-0.000000,-0.299953,-0.519534,1.199563,0.002985,0.005169,-0.025769,1.000000,0.000307,-0.000174,0.000000,0.031294,-0.018008,0.000000
0.080000,0.000535,0.000000,0.148401,0.009281,0.000000,0.044695,1.000000,0.000000,0.000740,0.000000,0.000000,0.062188,0.000000,0.598510,0.000000,1.194456,-0.040513,0.000000,-0.133616,0.999992,0.000000,0.004058,0.000000,0.000000,0.183592,0.000000,-0.299966,0.519584,1.199750,0.002665,-0.002450,-0.017853,1.000000,-0.000136,-0.000144,-0.000000,-0.013747,-0.015075,0.000000,-0.299918,-0.519473,1.199269,0.004383,0.007589,-0.036954,1.000000,0.000490,-0.000279,0.000000,0.047061,-0.026837,0.000000
0.090000,0.000631,0.000000,0.148783,0.010022,0.000000,0.031292,0.999999,0.000000,0.001062,0.000000,0.000000,0.067060,0.000000,0.598080,0.000000,1.193079,-0.045215,0.000000,-0.140842,0.999987,0.000000,0.005004,0.000000,0.000000,0.193951,0.000000,-0.299938,0.519558,1.199581,0.002876,-0.002643,-0.015635,1.000000,-0.000198,-0.000213,-0.000000,-0.011699,-0.012838,0.000000,-0.299868,-0.519387,1.198863,0.005628,0.009743,-0.044720,1.000000,0.000732,-0.000418,0.000000,0.052999,-0.030417,0.000000
0.100000,0.000737,0.000000,0.149017,0.011284,0.000000,0.015820,0.999999,0.000000,0.001417,0.000000,0.000000,0.075447,0.000000,0.597607,0.000000,1.191652,-0.049266,0.000000,-0.144107,0.999982,0.000000,0.005994,0.000000,0.000000,0.201676,0.000000,-0.299895,0.519519,1.199316,0.005622,-0.005170,-0.036320,1.000000,-0.000328,-0.000351,-0.000000,-0.033548,-0.035985,-0.000000,-0.299803,-0.519274,1.198345,0.007211,0.012484,-0.056342,0.999999,0.001035,-0.000592,0.000000,0.063767,-0.036706,0.000000
0.110000,0.000858,0.000000,0.149104,0.013025,0.000000,0.002646,0.999998,0.000000,0.001823,0.000000,0.000000,0.087072,0.000000,0.597096,0.000000,1.190205,-0.052815,0.000000,-0.144806,0.999975,0.000000,0.007019,0.000000,0.000000,0.207925,0.000000,-0.299835,0.519463,1.198951,0.006395,-0.005885,-0.035892,1.000000,-0.000479,-0.000515,-0.000000,-0.028179,-0.030709,0.000000,-0.299722,-0.519134,1.197716,0.008956,0.015504,-0.069216,0.999999,0.001390,-0.000796,0.000000,0.077301,-0.044451,0.000000
0.120000,0.000999,0.000000,0.149090,0.015122,0.000000,-0.004028,0.999997,0.000000,0.002293,0.000000,0.000000,0.101109,0.000000,0.596553,0.000000,1.188771,-0.055452,0.000000,-0.140793,0.999967,0.000000,0.008063,0.000000,0.000000,0.207988,0.000000,-0.299764,0.519398,1.198570,0.008265,-0.007632,-0.047401,1.000000,-0.000638,-0.000687,-0.000000,-0.042183,-0.044902,-0.000001,-0.299624,-0.518964,1.196967,0.010739,0.018590,-0.081464,0.999998,0.001804,-0.001034,0.000000,0.089420,-0.051437,0.000001
0.130000,0.001162,0.000000,0.149045,0.017448,0.000000,-0.004275,0.999996,0.000000,0.002838,0.000000,0.000000,0.116690,0.000000,0.595991,0.000000,1.187416,-0.056747,0.000000,-0.129785,0.999959,0.000000,0.009085,0.000000,0.000000,0.201174,0.000000,-0.299673,0.519313,1.198046,0.009792,-0.009072,-0.053856,0.999999,-0.000857,-0.000921,-0.000000,-0.042725,-0.045922,-0.000001,-0.299507,-0.518761,1.196090,0.012638,0.021875,-0.094039,0.999997,0.002280,-0.001308,0.000000,0.101694,-0.058539,0.000001
0.140000,0.001349,0.000000,0.149014,0.019853,0.000000,-0.001906,0.999994,0.000000,0.003463,0.000000,0.000000,0.132795,0.000000,0.595417,0.000000,1.186166,-0.057962,0.000000,-0.120585,0.999949,0.000000,0.010088,0.000000,0.000000,0.199914,0.000000,-0.299569,0.519217,1.197499,0.011384,-0.010600,-0.060746,0.999999,-0.001076,-0.001156,-0.000000,-0.050882,-0.053829,-0.000002,-0.299370,-0.518525,1.195082,0.014684,0.025417,-0.107290,0.999995,0.002822,-0.001620,0.000000,0.114925,-0.066190,0.000001
0.150000,0.001559,0.000000,0.149005,0.022252,0.000000,-0.000009,0.999991,0.000000,0.004168,0.000000,0.000000,0.148851,0.000000,0.594831,0.000000,1.184996,-0.059219,0.000000,-0.114134,0.999939,0.000000,0.011087,0.000000,0.000000,0.200101,0.000000,-0.299444,0.519100,1.196822,0.013347,-0.012513,-0.071467,0.999998,-0.001354,-0.001448,-0.000000,-0.056987,-0.060117,-0.000003,-0.299212,-0.518251,1.193939,0.016839,0.029146,-0.120545,0.999992,0.003433,-0.001972,0.000000,0.128214,-0.073894,0.000001
0.160000,0.001795,0.000000,0.149010,0.024858,0.000000,0.000715,0.999988,0.000000,0.004955,0.000000,0.000000,0.166288,0.000000,0.594233,0.000000,1.183877,-0.060435,0.000000,-0.109893,0.999927,0.000000,0.012088,0.000000,0.000000,0.199849,0.000000,-0.299303,0.518968,1.196089,0.015137,-0.014295,-0.078824,0.999997,-0.001647,-0.001756,-0.000000,-0.064571,-0.067218,-0.000007,-0.299034,-0.517942,1.192686,0.018765,0.032479,-0.128909,0.999989,0.004096,-0.002355,0.000000,0.136472,-0.078775,0.000001
0.170000,0.002059,0.000000,0.149017,0.027899,0.000000,0.000678,0.999983,0.000000,0.005837,0.000000,0.000000,0.186630,0.000000,0.593623,0.000000,1.182794,-0.061489,0.000000,-0.107004,0.999914,0.000000,0.013084,0.000000,0.000000,0.198485,0.000000,-0.299139,0.518813,1.195232,0.017319,-0.016505,-0.090113,0.999996,-0.001995,-0.002117,-0.000000,-0.072417,-0.074764,-0.000010,-0.298838,-0.517603,1.191378,0.020378,0.035269,-0.131924,0.999985,0.004792,-0.002757,0.000000,0.141337,-0.081672,0.000000
0.180000,0.002355,0.000000,0.149023,0.031476,0.000000,0.000407,0.999977,0.000000,0.006830,0.000000,0.000000,0.210558,0.000000,0.593004,0.000000,1.181735,-0.062344,0.000000,-0.105125,0.999901,0.000000,0.014071,0.000000,0.000000,0.196177,0.000000,-0.298956,0.518637,1.194292,0.019532,-0.018800,-0.100370,0.999994,-0.002376,-0.002508,-0.000000,-0.082210,-0.083630,-0.000016,-0.298627,-0.517238,1.190060,0.021731,0.037608,-0.131275,0.999980,0.005508,-0.003170,0.000000,0.144744,-0.083682,-0.000000
