time,wind_vx,wind_vy,wind_vz
0.000000,1.000000,0.500000,0.000000
0.010000,1.001786,0.498116,-0.002817
0.020000,0.998464,0.497853,-0.005347
0.030000,1.007350,0.499103,-0.009779
0.040000,1.008759,0.496219,-0.014968
0.050000,1.009697,0.500630,-0.015444
0.060000,1.009241,0.499583,-0.006147
0.070000,1.008353,0.501380,-0.006468
0.080000,1.015415,0.495690,-0.003640
0.090000,1.013697,0.496345,-0.010073
0.100000,1.013319,0.498814,-0.006571
0.110000,1.006740,0.496334,-0.003735
0.120000,0.998753,0.496840,-0.004730
0.130000,0.995179,0.498212,-0.006412
0.140000,0.991867,0.501097,-0.007402
0.150000,0.990047,0.507050,-0.000985
0.160000,0.989182,0.511403,0.001058
0.170000,0.994516,0.506786,-0.001154
0.180000,0.995646,0.505619,0.004180
0.190000,0.994959,0.509268,0.004982
0.200000,0.993689,0.507051,-0.002190
0.210000,0.999792,0.503808,-0.003758
0.220000,0.992736,0.508994,-0.001458
0.230000,0.994350,0.512746,-0.006865
0.240000,0.989148,0.515645,-0.002188
0.250000,0.984934,0.508685,-0.000423
0.260000,0.984170,0.501815,-0.005271
0.270000,0.983676,0.502903,-0.005653
0.280000,0.977125,0.500081,-0.006809
0.290000,0.985570,0.499990,-0.010036
0.300000,0.981546,0.502142,-0.009860
0.310000,0.990152,0.504325,-0.005188
0.320000,0.991181,0.508571,0.000468
0.330000,0.983315,0.507449,0.003675
0.340000,0.990124,0.505115,0.000076
0.350000,0.989513,0.509968,0.002923
0.360000,0.985187,0.509342,0.002616
0.370000,0.982925,0.508827,-0.003915
0.380000,0.990085,0.514164,-0.009267
0.390000,0.986991,0.513660,-0.009880
0.400000,0.984191,0.520087,-0.013231
0.410000,0.977210,0.522133,-0.014219
0.420000,0.978592,0.516921,-0.015509
0.430000,0.978765,0.517605,-0.017186
0.440000,0.977065,0.512558,-0.021934
0.450000,0.976698,0.512204,-0.029065
0.460000,0.982259,0.508547,-0.030600
0.470000,0.985386,0.517096,-0.030641
0.480000,0.982959,0.512742,-0.031570
0.490000,0.978998,0.516797,-0.030820
0.500000,0.985894,0.516429,-0.029101
0.510000,0.986542,0.522641,-0.026235
0.520000,0.985827,0.516715,-0.027091
0.530000,0.987504,0.521163,-0.030091
0.540000,0.987459,0.514942,-0.033157
0.550000,0.992203,0.509945,-0.039029
0.560000,0.993708,0.509560,-0.037408
0.570000,0.994984,0.510067,-0.034920
0.580000,0.992798,0.506897,-0.036788
0.590000,0.997209,0.503110,-0.028131
