time,drone0_roll,drone0_pitch,drone0_yaw,drone0_des_qw,drone0_des_qx,drone0_des_qy,drone0_des_qz,drone0_err_x,drone0_err_y,drone0_err_z,drone1_roll,drone1_pitch,drone1_yaw,drone1_des_qw,drone1_des_qx,drone1_des_qy,drone1_des_qz,drone1_err_x,drone1_err_y,drone1_err_z,drone2_roll,drone2_pitch,drone2_yaw,drone2_des_qw,drone2_des_qx,drone2_des_qy,drone2_des_qz,drone2_err_x,drone2_err_y,drone2_err_z,drone3_roll,drone3_pitch,drone3_yaw,drone3_des_qw,drone3_des_qx,drone3_des_qy,drone3_des_qz,drone3_err_x,drone3_err_y,drone3_err_z,drone4_roll,drone4_pitch,drone4_yaw,drone4_des_qw,drone4_des_qx,drone4_des_qy,drone4_des_qz,drone4_err_x,drone4_err_y,drone4_err_z
0.000000,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0
0.010000,0.000001,0.000122,0.000000,1,0,0,0,0,0,0,0.000001,-0.000001,-0.000000,1,0,0,0,0,0,0,0.000001,-0.000001,-0.000000,1,0,0,0,0,0,0,0.000262,-0.000347,-0.000000,1,0,0,0,0,0,0,0.000001,-0.000001,-0.000000,1,0,0,0,0,0,0
0.020000,0.000003,0.000440,0.000000,1,0,0,0,0,0,0,0.000003,-0.000006,-0.000000,1,0,0,0,0,0,0,0.000003,-0.000006,-0.000000,1,0,0,0,0,0,0,0.000840,-0.001129,-0.000000,1,0,0,0,0,0,0,0.000003,-0.000006,-0.000000,1,0,0,0,0,0,0
0.030000,0.000008,0.000927,0.000000,1,0,0,0,0,0,0,0.000008,-0.000016,-0.000000,1,0,0,0,0,0,0,0.000008,-0.000016,-0.000000,1,0,0,0,0,0,0,0.001634,-0.002214,-0.000002,1,0,0,0,0,0,0,0.000008,-0.000016,-0.000000,1,0,0,0,0,0,0
0.040000,0.000015,0.001582,0.000000,1,0,0,0,0,0,0,0.000015,-0.000030,-0.000000,1,0,0,0,0,0,0,0.000015,-0.000030,-0.000000,1,0,0,0,0,0,0,0.002619,-0.003566,-0.000005,1,0,0,0,0,0,0,0.000015,-0.000030,-0.000000,1,0,0,0,0,0,0
0.050000,0.000025,0.002405,0.000000,1,0,0,0,0,0,0,0.000025,-0.000050,-0.000000,1,0,0,0,0,0,0,-0.000078,-0.000187,0.000000,1,0,0,0,0,0,0,0.003785,-0.005170,-0.000010,1,0,0,0,0,0,0,0.000111,-0.000023,0.000000,1,0,0,0,0,0,0
0.060000,0.000037,0.003402,0.000000,1,0,0,0,0,0,0,0.000037,-0.000073,-0.000000,1,0,0,0,0,0,0,-0.000158,-0.000336,0.000000,1,0,0,0,0,0,0,0.005124,-0.007015,-0.000018,1,0,0,0,0,0,0,0.000304,0.000012,0.000000,1,0,0,0,0,0,0
0.070000,0.000050,0.004568,0.000000,1,0,0,0,0,0,0,-0.000098,-0.000099,-0.000000,1,0,0,0,0,0,0,-0.000348,-0.000639,0.000000,1,0,0,0,0,0,0,0.006627,-0.009087,-0.000030,1,0,0,0,0,0,0,0.000522,0.000050,0.000000,1,0,0,0,0,0,0
0.080000,0.000066,0.005881,0.000000,1,0,0,0,0,0,0,-0.000322,-0.000128,0.000000,1,0,0,0,0,0,0,-0.000561,-0.000984,0.000000,1,0,0,0,0,0,0,0.008277,-0.011366,-0.000047,1,0,0,0,0,0,0,0.000905,0.000136,0.000000,1,0,0,0,0,0,0
0.090000,0.000083,0.007312,0.000000,1,0,0,0,0,0,0,-0.000493,-0.000162,0.000000,1,0,0,0,0,0,0,-0.000855,-0.001445,0.000001,1,0,0,0,0,0,0,0.010055,-0.013821,-0.000069,1,0,0,0,0,0,0,0.001340,0.000236,0.000000,1,0,0,0,0,0,0
0.100000,0.000102,0.008831,0.000000,1,0,0,0,0,0,0,-0.000822,-0.000196,0.000000,1,0,0,0,0,0,0,-0.001210,-0.001995,0.000001,1,0,0,0,0,0,0,0.011936,-0.016421,-0.000098,1,0,0,0,0,0,0,0.001891,0.000370,0.000000,1,0,0,0,0,0,0
0.110000,0.000122,0.010411,0.000001,1,0,0,0,0,0,0,-0.001247,-0.000232,0.000000,1,0,0,0,0,0,0,-0.001626,-0.002634,0.000002,1,0,0,0,0,0,0,0.013895,-0.019131,-0.000132,1,0,0,0,0,0,0,0.002549,0.000535,0.000001,1,0,0,0,0,0,0
0.120000,0.000144,0.012031,0.000001,1,0,0,0,0,0,0,-0.001657,-0.000271,0.000000,1,0,0,0,0,0,0,-0.002111,-0.003372,0.000003,1,0,0,0,0,0,0,0.015913,-0.021924,-0.000174,1,0,0,0,0,0,0,0.003299,0.000728,0.000001,1,0,0,0,0,0,0
0.130000,0.000166,0.013679,0.000001,1,0,0,0,0,0,0,-0.002249,-0.000307,0.000000,1,0,0,0,0,0,0,-0.002667,-0.004211,0.000005,1,0,0,0,0,0,0,0.017971,-0.024772,-0.000222,1,0,0,0,0,0,0,0.004163,0.000955,0.000002,1,0,0,0,0,0,0
0.140000,0.000190,0.015340,0.000001,1,0,0,0,0,0,0,-0.002837,-0.000345,0.000000,1,0,0,0,0,0,0,-0.003293,-0.005153,0.000008,1,0,0,0,0,0,0,0.020033,-0.027630,-0.000276,1,0,0,0,0,0,0,0.005139,0.001216,0.000003,1,0,0,0,0,0,0
0.150000,0.000215,0.017010,0.000002,1,0,0,0,0,0,0,-0.003557,-0.000378,0.000000,1,0,0,0,0,0,0,-0.003996,-0.006201,0.000012,1,0,0,0,0,0,0,0.022038,-0.030411,-0.000334,1,0,0,0,0,0,0,0.006229,0.001512,0.000005,1,0,0,0,0,0,0
0.160000,0.000240,0.018699,0.000002,1,0,0,0,0,0,0,-0.004335,-0.000408,0.000001,1,0,0,0,0,0,0,-0.004775,-0.007357,0.000017,1,0,0,0,0,0,0,0.023955,-0.033073,-0.000396,1,0,0,0,0,0,0,0.007442,0.001846,0.000007,1,0,0,0,0,0,0
0.170000,0.000266,0.020403,0.000003,1,0,0,0,0,0,0,-0.005223,-0.000432,0.000001,1,0,0,0,0,0,0,-0.005611,-0.008596,0.000024,1,0,0,0,0,0,0,0.025807,-0.035644,-0.000459,1,0,0,0,0,0,0,0.008779,0.002219,0.000010,1,0,0,0,0,0,0
0.180000,0.000292,0.022112,0.000003,1,0,0,0,0,0,0,-0.006201,-0.000448,0.000001,1,0,0,0,0,0,0,-0.006488,-0.009892,0.000031,1,0,0,0,0,0,0,0.027593,-0.038124,-0.000526,1,0,0,0,0,0,0,0.010219,0.002625,0.000014,1,0,0,0,0,0,0
0.190000,0.000319,0.023817,0.000004,1,0,0,0,0,0,0,-0.007291,-0.000453,0.000001,1,0,0,0,0,0,0,-0.007390,-0.011225,0.000041,1,0,0,0,0,0,0,0.029306,-0.040503,-0.000593,1,0,0,0,0,0,0,0.011725,0.003053,0.000019,1,0,0,0,0,0,0
0.200000,0.000345,0.025510,0.000004,1,0,0,0,0,0,0,-0.008477,-0.000447,0.000001,1,0,0,0,0,0,0,-0.008305,-0.012578,0.000051,1,0,0,0,0,0,0,0.030939,-0.042771,-0.000661,1,0,0,0,0,0,0,0.013272,0.003493,0.000024,1,0,0,0,0,0,0
0.210000,0.000372,0.027186,0.000005,1,0,0,0,0,0,0,-0.009775,-0.000425,0.000001,1,0,0,0,0,0,0,-0.009225,-0.013939,0.000063,1,0,0,0,0,0,0,0.032483,-0.044917,-0.000729,1,0,0,0,0,0,0,0.014839,0.003940,0.000030,1,0,0,0,0,0,0
0.220000,0.000398,0.028838,0.000005,1,0,0,0,0,0,0,-0.011155,-0.000387,0.000000,1,0,0,0,0,0,0,-0.010145,-0.015298,0.000076,1,0,0,0,0,0,0,0.033930,-0.046930,-0.000796,1,0,0,0,0,0,0,0.016411,0.004389,0.000037,1,0,0,0,0,0,0
0.230000,0.000425,0.030461,0.000006,1,0,0,0,0,0,0,-0.012599,-0.000330,-0.000000,1,0,0,0,0,0,0,-0.011056,-0.016647,0.000091,1,0,0,0,0,0,0,0.035274,-0.048800,-0.000861,1,0,0,0,0,0,0,0.017981,0.004838,0.000045,1,0,0,0,0,0,0
0.240000,0.000451,0.032047,0.000007,1,0,0,0,0,0,0,-0.014077,-0.000256,-0.000001,1,0,0,0,0,0,0,-0.011951,-0.017971,0.000106,1,0,0,0,0,0,0,0.036507,-0.050517,-0.000923,1,0,0,0,0,0,0,0.019537,0.005283,0.000053,1,0,0,0,0,0,0
0.250000,0.000476,0.033586,0.000008,1,0,0,0,0,0,0,-0.015562,-0.000164,-0.000002,1,0,0,0,0,0,0,-0.012820,-0.019259,0.000122,1,0,0,0,0,0,0,0.037623,-0.052073,-0.000980,1,0,0,0,0,0,0,0.021064,0.005720,0.000062,1,0,0,0,0,0,0
0.260000,0.000501,0.035067,0.000008,1,0,0,0,0,0,0,-0.017042,-0.000055,-0.000004,1,0,0,0,0,0,0,-0.013659,-0.020503,0.000138,1,0,0,0,0,0,0,0.038615,-0.053458,-0.001033,1,0,0,0,0,0,0,0.022543,0.006143,0.000071,1,0,0,0,0,0,0
0.270000,0.000526,0.036473,0.000009,1,0,0,0,0,0,0,-0.018511,0.000073,-0.000006,1,0,0,0,0,0,0,-0.014469,-0.021705,0.000155,1,0,0,0,0,0,0,0.039478,-0.054665,-0.001080,1,0,0,0,0,0,0,0.023957,0.006546,0.000080,1,0,0,0,0,0,0
0.280000,0.000550,0.037791,0.000010,1,0,0,0,0,0,0,-0.019961,0.000221,-0.000008,1,0,0,0,0,0,0,-0.015246,-0.022860,0.000173,1,0,0,0,0,0,0,0.040209,-0.055691,-0.001121,1,0,0,0,0,0,0,0.025299,0.006928,0.000090,1,0,0,0,0,0,0
0.290000,0.000572,0.039007,0.000010,1,0,0,0,0,0,0,-0.021379,0.000389,-0.000012,1,0,0,0,0,0,0,-0.015990,-0.023965,0.000190,1,0,0,0,0,0,0,0.040807,-0.056533,-0.001155,1,0,0,0,0,0,0,0.026568,0.007288,0.000099,1,0,0,0,0,0,0
0.300000,0.000594,0.040114,0.000011,1,0,0,0,0,0,0,-0.022748,0.000575,-0.000015,1,0,0,0,0,0,0,-0.016695,-0.025015,0.000207,1,0,0,0,0,0,0,0.041271,-0.057190,-0.001182,1,0,0,0,0,0,0,0.027765,0.007627,0.000108,1,0,0,0,0,0,0
0.310000,0.000615,0.041107,0.000012,1,0,0,0,0,0,0,-0.024050,0.000775,-0.000019,1,0,0,0,0,0,0,-0.017355,-0.025999,0.000224,1,0,0,0,0,0,0,0.041600,-0.057662,-0.001202,1,0,0,0,0,0,0,0.028886,0.007943,0.000117,1,0,0,0,0,0,0
0.320000,0.000635,0.041978,0.000012,1,0,0,0,0,0,0,-0.025267,0.000988,-0.000024,1,0,0,0,0,0,0,-0.017962,-0.026906,0.000240,1,0,0,0,0,0,0,0.041793,-0.057946,-0.001213,1,0,0,0,0,0,0,0.029922,0.008235,0.000125,1,0,0,0,0,0,0
0.330000,0.000653,0.042718,0.000013,1,0,0,0,0,0,0,-0.026385,0.001210,-0.000029,1,0,0,0,0,0,0,-0.018505,-0.027723,0.000255,1,0,0,0,0,0,0,0.041852,-0.058047,-0.001218,1,0,0,0,0,0,0,0.030864,0.008498,0.000133,1,0,0,0,0,0,0
0.340000,0.000670,0.043314,0.000013,1,0,0,0,0,0,0,-0.027396,0.001442,-0.000035,1,0,0,0,0,0,0,-0.018979,-0.028441,0.000269,1,0,0,0,0,0,0,0.041786,-0.057975,-0.001214,1,0,0,0,0,0,0,0.031697,0.008728,0.000140,1,0,0,0,0,0,0
0.350000,0.000685,0.043757,0.000014,1,0,0,0,0,0,0,-0.028294,0.001682,-0.000041,1,0,0,0,0,0,0,-0.019380,-0.029054,0.000280,1,0,0,0,0,0,0,0.041599,-0.057737,-0.001204,1,0,0,0,0,0,0,0.032412,0.008922,0.000146,1,0,0,0,0,0,0
0.360000,0.000698,0.044045,0.000014,1,0,0,0,0,0,0,-0.029079,0.001934,-0.000047,1,0,0,0,0,0,0,-0.019705,-0.029558,0.000290,1,0,0,0,0,0,0,0.041299,-0.057345,-0.001188,1,0,0,0,0,0,0,0.033002,0.009079,0.000151,1,0,0,0,0,0,0
