time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z,drone3_tau_x,drone3_tau_y,drone3_tau_z,drone3_f_x,drone3_f_y,drone3_f_z,drone4_tau_x,drone4_tau_y,drone4_tau_z,drone4_f_x,drone4_f_y,drone4_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.034474,-0.000000,0.002496,-0.000011,20.476924,0.000300,-0.000629,-0.000000,-0.000022,-0.000012,22.317758,0.000300,-0.000629,-0.000000,-0.000022,-0.000012,22.317760,-0.066180,0.086326,-0.000001,-0.005835,-0.004410,16.811991,0.000300,-0.000629,-0.000000,-0.000022,-0.000012,22.317759
0.020000,0.000343,-0.051158,-0.000000,0.009011,-0.000063,20.488173,0.000342,-0.000732,-0.000000,-0.000133,-0.000068,22.317780,0.000342,-0.000732,-0.000000,-0.000133,-0.000068,22.317782,-0.081947,0.109013,-0.000004,-0.019892,-0.014800,17.617491,0.000342,-0.000732,-0.000000,-0.000133,-0.000068,22.317781
0.030000,0.000340,-0.061992,-0.000001,0.019105,-0.000165,20.598465,0.000336,-0.000725,-0.000000,-0.000351,-0.000179,22.317805,0.000336,-0.000726,-0.000000,-0.000351,-0.000179,22.317808,-0.088005,0.117953,-0.000009,-0.040746,-0.030067,18.406086,0.000336,-0.000725,-0.000000,-0.000351,-0.000179,22.317808
0.040000,0.000330,-0.070640,-0.000002,0.032803,-0.000318,20.739701,0.000321,-0.000694,-0.000000,-0.000677,-0.000343,22.317814,0.000321,-0.000694,-0.000000,-0.000677,-0.000343,22.317819,-0.091660,0.123262,-0.000015,-0.068357,-0.050197,19.167679,0.000322,-0.000694,-0.000000,-0.000676,-0.000343,22.317819
0.050000,0.000320,-0.078474,-0.000003,0.050220,-0.000520,20.879307,0.000304,-0.000662,-0.000000,-0.001106,-0.000558,22.317822,0.012941,0.016392,0.000001,-0.004168,0.001746,22.331853,-0.094580,0.127434,-0.000023,-0.102708,-0.075185,19.864342,-0.036536,-0.011955,-0.000002,-0.000496,-0.002408,21.661052
0.060000,0.000312,-0.085672,-0.000004,0.071684,-0.000771,21.068683,0.000287,-0.000626,-0.000000,-0.001633,-0.000822,22.317827,0.013382,0.016662,0.000002,-0.005998,0.002816,17.829267,-0.097321,0.131327,-0.000032,-0.143953,-0.105145,20.519679,-0.013624,-0.005194,-0.000001,0.000263,-0.006829,22.472022
0.070000,0.000302,-0.089995,-0.000006,0.098102,-0.001080,21.473751,0.048261,-0.001101,0.000005,-0.002178,0.002154,21.911740,0.021685,0.028245,0.000005,-0.014228,0.007740,22.261776,-0.099187,0.134083,-0.000041,-0.193086,-0.140798,21.246496,-0.045179,-0.014627,-0.000005,0.000994,-0.010459,20.042760
0.080000,0.000293,-0.090704,-0.000007,0.129581,-0.001449,22.032125,0.017201,-0.000732,0.000003,-0.002897,0.007269,22.560602,0.029215,0.037820,0.000008,-0.020210,0.011523,20.541951,-0.099687,0.135037,-0.000050,-0.250575,-0.182478,22.045163,-0.028755,-0.009943,-0.000005,0.003089,-0.020502,22.649156
0.090000,0.000284,-0.088625,-0.000009,0.165774,-0.001881,22.670110,0.010264,-0.000613,0.000002,-0.003686,0.011245,22.812242,0.025634,0.033825,0.000009,-0.030975,0.018336,21.438928,-0.098757,0.134080,-0.000058,-0.316478,-0.230222,22.895757,-0.048789,-0.016002,-0.000010,0.004973,-0.028223,21.066750
