time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz,drone3_est_x,drone3_est_y,drone3_est_z,drone3_est_vx,drone3_est_vy,drone3_est_vz,drone4_est_x,drone4_est_y,drone4_est_z,drone4_est_vx,drone4_est_vy,drone4_est_vz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,0.185410,0.570634,1.200000,0.000000,0.000000,0.000000,-0.485410,0.352671,1.200000,0.000000,0.000000,0.000000,-0.485410,-0.352671,1.200000,0.000000,0.000000,0.000000,0.185410,-0.570634,1.200000,0.000000,0.000000,0.000000
0.010000,0.101336,0.000000,0.394648,3.436312,0.000000,7.956942,0.611604,-0.000807,1.215957,0.000579,-0.000040,0.000797,0.169188,0.550883,1.205543,-0.000810,-0.000986,0.000277,-0.462126,0.345814,1.160678,0.001162,-0.000342,-0.001963,-0.511640,-0.347771,1.226421,-0.001310,0.000245,0.001319,0.204924,-0.553044,1.217275,0.000974,0.000878,0.000862
0.020000,0.129609,-0.000645,0.446947,2.055915,-0.024303,4.264738,0.605905,0.009944,1.233247,-0.001399,0.003689,0.004236,0.167642,0.553901,1.140834,-0.001343,0.000064,-0.012601,-0.479764,0.349142,1.184300,-0.004959,0.000813,0.002742,-0.498754,-0.323484,1.215714,0.003164,0.008668,-0.000814,0.208635,-0.560575,1.204775,0.002258,-0.001737,-0.001627
0.030000,0.137536,0.005234,0.469391,0.697450,0.308552,1.765120,0.603736,0.014039,1.240718,-0.003284,0.007237,0.007532,0.167051,0.555048,1.112881,-0.001848,0.001066,-0.024948,-0.486479,0.350409,1.194500,-0.010787,0.001914,0.007255,-0.493850,-0.314232,1.211092,0.007425,0.016681,-0.002861,0.210051,-0.563441,1.199377,0.003476,-0.004228,-0.004014
0.040000,0.140516,0.010567,0.474814,0.160214,0.376136,0.245266,0.602564,0.016255,1.244937,-0.005099,0.010651,0.010747,0.166730,0.555666,1.097103,-0.002331,0.002034,-0.036995,-0.490109,0.351094,1.200253,-0.016398,0.002974,0.011662,-0.491199,-0.309226,1.208486,0.011529,0.024390,-0.004861,0.210820,-0.564990,1.196332,0.004645,-0.006627,-0.006346
0.050000,0.142861,0.014891,0.470163,0.180643,0.306756,-0.546225,0.601805,0.017690,1.247693,-0.006825,0.013892,0.013876,0.166520,0.556066,1.086801,-0.002785,0.002958,-0.048731,-0.492460,0.351537,1.204006,-0.021731,0.003982,0.015959,-0.489483,-0.305981,1.206786,0.015431,0.031706,-0.006812,0.211319,-0.565992,1.194345,0.005749,-0.008910,-0.008619
0.060000,0.147675,0.017875,0.460850,0.490606,0.194130,-0.837432,0.601254,0.018733,1.249673,-0.008430,0.016900,0.016900,0.166367,0.556355,1.079405,-0.003201,0.003822,-0.060078,-0.494166,0.351859,1.206699,-0.026688,0.004920,0.020119,-0.488239,-0.303625,1.205568,0.019062,0.038496,-0.008701,0.211682,-0.566719,1.192920,0.006768,-0.011034,-0.010818
0.070000,0.156240,0.019573,0.450584,0.861950,0.094104,-0.833492,0.600823,0.019549,1.251195,-0.009883,0.019613,0.019788,0.166247,0.556581,1.073722,-0.003570,0.004608,-0.070926,-0.495503,0.352110,1.208766,-0.031167,0.005769,0.024102,-0.487264,-0.301779,1.204632,0.022346,0.044616,-0.010512,0.211967,-0.567289,1.191825,0.007679,-0.012956,-0.012924
0.080000,0.168150,0.020324,0.441433,1.140104,0.030493,-0.694202,0.600468,0.020223,1.252425,-0.011151,0.021973,0.022508,0.166148,0.556767,1.069127,-0.003885,0.005301,-0.081156,-0.496604,0.352318,1.210436,-0.035073,0.006510,0.027865,-0.486461,-0.300257,1.203877,0.025214,0.049938,-0.012224,0.212203,-0.567758,1.190941,0.008463,-0.014636,-0.014912
0.090000,0.182051,0.020546,0.434164,1.261205,0.004358,-0.526634,0.600166,0.020795,1.253459,-0.012212,0.023938,0.025027,0.166064,0.556925,1.065269,-0.004138,0.005887,-0.090645,-0.497541,0.352494,1.211838,-0.038336,0.007130,0.031364,-0.485778,-0.298962,1.203243,0.027614,0.054365,-0.013818,0.212403,-0.568157,1.190198,0.009106,-0.016043,-0.016760
0.100000,0.196379,0.020594,0.428722,1.239114,0.004824,-0.390376,0.599904,0.021291,1.254353,-0.013054,0.025483,0.027316,0.165991,0.557062,1.061935,-0.004327,0.006360,-0.099281,-0.498351,0.352647,1.213049,-0.040914,0.007621,0.034556,-0.485186,-0.297843,1.202696,0.029516,0.057841,-0.015274,0.212576,-0.568502,1.189557,0.009600,-0.017159,-0.018446
0.110000,0.209933,0.020694,0.424627,1.135611,0.017955,-0.310128,0.599676,0.021722,1.255141,-0.013673,0.026605,0.029348,0.165928,0.557182,1.058997,-0.004453,0.006717,-0.106967,-0.499058,0.352780,1.214116,-0.042802,0.007983,0.037408,-0.484671,-0.296867,1.202213,0.030915,0.060361,-0.016577,0.212726,-0.568803,1.188992,0.009944,-0.017982,-0.019951
0.120000,0.222182,0.020938,0.421253,1.025702,0.032275,-0.287806,0.596689,0.023428,1.246726,-0.032330,0.036026,-0.007935,0.171006,0.561652,1.075418,0.029080,0.035534,-0.032084,-0.495533,0.354400,1.217498,-0.016932,0.018061,0.050284,-0.483138,-0.303724,1.204197,0.038928,0.011534,-0.007375,0.213157,-0.570456,1.188888,0.012117,-0.027621,-0.019538
0.130000,0.233043,0.021434,0.417202,0.884292,0.081253,-0.586610,0.593994,0.024956,1.239058,-0.048061,0.043772,-0.042457,0.175603,0.565692,1.090393,0.057641,0.059973,0.037499,-0.492321,0.355860,1.220568,0.005497,0.026551,0.061962,-0.481767,-0.309960,1.206007,0.045433,-0.030592,0.001194,0.213542,-0.571941,1.188799,0.013866,-0.035639,-0.019056
0.140000,0.242489,0.022449,0.409779,0.808198,0.129925,-0.964580,0.591570,0.026320,1.232007,-0.060960,0.049922,-0.073962,0.179753,0.569333,1.104177,0.081357,0.080160,0.101259,-0.489400,0.357174,1.223376,0.024517,0.033507,0.072366,-0.480548,-0.315618,1.207674,0.050512,-0.066116,0.009065,0.213884,-0.573271,1.188723,0.015215,-0.042102,-0.018511
0.150000,0.251334,0.023923,0.398595,0.839567,0.157972,-1.257738,0.589402,0.027531,1.225492,-0.071219,0.054608,-0.102281,0.183479,0.572597,1.116932,0.100525,0.096366,0.158834,-0.486758,0.358349,1.225953,0.040293,0.039034,0.081456,-0.479469,-0.320725,1.209218,0.054289,-0.095378,0.016190,0.214186,-0.574456,1.188660,0.016200,-0.047128,-0.017913
0.160000,0.260739,0.025634,0.384651,0.965126,0.160050,-1.393917,0.587474,0.028599,1.219460,-0.079096,0.057990,-0.127331,0.186803,0.575505,1.128759,0.115558,0.108967,0.210037,-0.484383,0.359393,1.228321,0.053080,0.043270,0.089227,-0.478521,-0.325307,1.210650,0.056916,-0.118895,0.022546,0.214451,-0.575504,1.188609,0.016866,-0.050868,-0.017273
