time,load_gps_x,load_gps_y,load_gps_z,drone0_gps_x,drone0_gps_y,drone0_gps_z,drone1_gps_x,drone1_gps_y,drone1_gps_z,drone2_gps_x,drone2_gps_y,drone2_gps_z,drone3_gps_x,drone3_gps_y,drone3_gps_z,drone4_gps_x,drone4_gps_y,drone4_gps_z
0.000000,-0.025348,-0.007703,0.121531,0.613921,-0.000968,1.223923,0.165948,0.546939,1.208310,-0.457476,0.344444,1.141047,-0.516878,-0.346792,1.239612,0.208821,-0.549531,1.225900
0.010000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.020000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.030000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.040000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.050000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.060000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.070000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.080000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.090000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.100000,0.011767,0.001792,0.207363,0.599129,0.022715,1.259014,0.165816,0.557498,1.044346,-0.500728,0.353100,1.219552,-0.483433,-0.294638,1.199729,0.213031,-0.569531,1.186124
0.110000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.120000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.130000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.140000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.150000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.160000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.170000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.180000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.190000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.200000,0.019733,0.013291,0.149686,0.580606,0.031548,1.179437,0.199912,0.586492,1.210566,-0.473232,0.363087,1.240736,-0.476231,-0.345814,1.220806,0.215031,-0.578765,1.189632
0.210000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.220000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.230000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.240000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.250000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.260000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.270000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.280000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.290000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.300000,-0.020892,-0.005607,0.062306,0.585941,0.009546,1.234750,0.184285,0.562442,1.137151,-0.461543,0.364426,1.211052,-0.463942,-0.368749,1.127364,0.191237,-0.559770,1.144489
0.310000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.320000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.330000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.340000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.350000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.360000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.370000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.380000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.390000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.400000,0.011868,-0.011100,0.155367,0.571940,-0.023924,1.155104,0.180093,0.561350,1.113894,-0.487922,0.334164,1.200633,-0.465332,-0.337007,1.153474,0.173031,-0.584634,1.162734
0.410000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.420000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.430000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.440000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.450000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.460000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.470000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.480000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.490000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.500000,-0.004768,0.021727,0.222130,0.550095,-0.000784,1.235028,0.157610,0.577446,1.128858,-0.484227,0.347797,1.083415,-0.450168,-0.345027,1.261712,0.182971,-0.542856,1.250027
0.510000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.520000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.530000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.540000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.550000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.560000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.570000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.580000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.590000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.600000,-0.035200,0.011219,0.150200,0.602906,-0.001882,1.126488,0.168253,0.566903,1.238862,-0.500678,0.350879,1.274786,-0.483196,-0.347862,1.061128,0.155188,-0.578760,1.101602
0.610000,0.024976,-0.017306,0.240686,0.582040,-0.035930,1.107040,0.178816,0.575185,1.234497,-0.517866,0.350855,1.093565,-0.473977,-0.319857,1.067308,0.181076,-0.524567,1.142428
