time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz,drone3_ax,drone3_ay,drone3_az,drone3_wx,drone3_wy,drone3_wz,drone4_ax,drone4_ay,drone4_az,drone4_wx,drone4_wy,drone4_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.056245,-0.131288,9.828147,-0.001265,0.010742,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.056326,0.050867,9.882346,-0.000379,-0.007102,-0.000148,0.050588,-0.028202,9.809395,0.041269,-0.042241,-0.003828,0.003250,-0.000065,9.814897,0.010465,-0.005850,-0.000654
0.020000,-0.138785,0.049355,8.445246,-0.012844,0.030385,0.004105,0.099823,0.034418,9.776782,0.002322,-0.002952,0.011622,0.074649,-0.008898,9.752321,-0.005431,-0.004822,0.002975,0.658994,0.568086,6.162558,0.058610,-0.070126,-0.001775,-0.011493,-0.065527,9.698917,0.001653,-0.004668,-0.000831
0.030000,-0.328535,-0.009116,8.469992,-0.007637,0.053546,-0.008204,-0.101491,0.013780,9.743227,0.003350,0.007249,-0.001574,-0.028228,0.036898,9.767494,-0.007558,-0.002117,0.004618,0.634722,0.466607,6.430641,0.079645,-0.122084,0.003568,-0.002595,-0.048314,9.720144,0.011547,0.006623,0.001858
0.040000,-0.295061,0.043656,8.367472,-0.003332,0.058230,0.006105,0.049020,0.086517,9.771398,-0.004884,0.008928,-0.008113,-0.064301,0.055825,9.823301,-0.007044,-0.007459,-0.010904,0.703013,0.562819,6.741448,0.100611,-0.137658,0.010144,-0.046831,-0.036797,9.764915,-0.004594,0.005636,0.000815
0.050000,-0.337943,0.021634,8.430826,0.004339,0.077468,0.009897,-0.082554,0.055055,9.846628,-0.004064,-0.009603,0.008296,0.330060,-0.230546,7.787200,-0.016798,-0.022524,0.007059,0.693971,0.503328,6.922056,0.127484,-0.157408,-0.000284,-0.046870,0.026257,9.823005,-0.002580,-0.004888,0.005346
0.060000,-0.410987,0.095232,8.300250,0.001141,0.105247,0.001726,-0.023632,0.101935,9.789427,0.016155,-0.009544,0.002374,0.018873,-0.045421,9.731486,-0.020361,-0.001472,-0.002307,0.731602,0.514761,7.303688,0.135267,-0.189659,-0.004794,-0.135713,0.008435,9.619282,0.020161,-0.007749,0.002220
0.070000,-0.398304,0.090279,8.357638,-0.009434,0.120825,0.001589,0.029774,-0.029007,9.730557,0.003685,-0.013543,0.003625,0.358278,-0.193208,7.653872,-0.018205,-0.034276,-0.010030,0.654096,0.598395,7.489136,0.151228,-0.196440,-0.006800,0.093963,-0.044301,9.841023,0.005724,0.017447,0.011016
0.080000,-0.457339,0.073235,8.520604,-0.003642,0.126789,0.009847,-0.024239,-0.099471,9.730337,-0.002975,0.002561,0.009020,0.194109,0.010613,9.628832,-0.030520,-0.033982,0.005774,0.728956,0.573029,7.586327,0.163535,-0.233849,0.002392,-0.083633,0.333606,8.871895,0.051576,0.008674,-0.003065
0.090000,-0.477101,0.125497,8.755535,0.005964,0.140662,0.000631,-0.010810,-0.160609,9.848461,-0.008432,-0.002216,-0.000048,0.190571,-0.123464,8.728361,-0.037136,-0.051642,0.002861,0.816972,0.518432,8.098127,0.177685,-0.230498,0.004461,-0.026390,0.252363,8.962150,0.041208,0.010971,0.001720
0.100000,-0.405487,-0.028135,9.050060,0.004147,0.156312,-0.002657,0.036795,-0.331914,7.950783,-0.032466,0.005980,0.001838,0.248867,-0.144464,8.323913,-0.028049,-0.060114,-0.000515,0.735139,0.540905,8.329909,0.174942,-0.252766,-0.000620,0.022911,0.248869,8.887850,0.044805,0.030106,-0.005470
0.110000,-0.339484,0.018258,9.413099,-0.005268,0.163870,-0.005007,0.056352,-0.211425,9.454495,-0.049311,-0.005040,0.010524,0.231813,-0.119194,8.831852,-0.037441,-0.057777,0.006853,0.655953,0.380414,8.904199,0.185907,-0.268610,0.007218,-0.091715,0.220789,8.295931,0.061413,0.014067,-0.001891
0.120000,-0.381601,0.011067,9.585400,0.008956,0.174487,-0.009778,0.101375,-0.002604,9.889769,-0.053263,-0.015298,0.002803,0.299373,-0.129084,8.613324,-0.049250,-0.074686,0.009895,0.634600,0.508095,9.196557,0.199855,-0.292544,0.001089,-0.052560,0.269640,8.863298,0.065406,0.017513,0.002971
