time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz,rope3_mag,rope3_fx,rope3_fy,rope3_fz,rope4_mag,rope4_fx,rope4_fy,rope4_fz
0.000000,0.722791,-0.383775,-0.000000,-0.612490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.153281,1.354517,0.984114,-2.672075,0.000000,0.000000,0.000000,0.000000
0.010000,1.192200,-0.630524,-0.000004,-1.011821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.439845,1.472350,1.069697,-2.918984,0.000000,0.000000,0.000000,0.000000
0.020000,1.462204,-0.764546,-0.000021,-1.246399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.630768,1.538816,1.117970,-3.092679,0.000000,0.000000,0.000000,0.000000
0.030000,1.695578,-0.870403,-0.000055,-1.455124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.801773,1.587173,1.153118,-3.256482,0.000000,0.000000,0.000000,0.000000
0.040000,1.922398,-0.962928,-0.000108,-1.663845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.958051,1.621660,1.178215,-3.412945,0.000000,0.000000,0.000000,0.000000
0.050000,2.158850,-1.050223,-0.000181,-1.886178,0.000000,0.000000,0.000000,0.000000,0.234967,0.091458,-0.066498,-0.205968,4.121122,1.653803,1.201625,-3.578362,0.498173,-0.074221,0.228112,-0.436615
0.060000,2.376837,-1.119943,-0.000267,-2.096445,0.000000,0.000000,0.000000,0.000000,2.686278,1.000172,-0.727487,-2.384640,4.281353,1.682232,1.222347,-3.742452,0.234185,-0.033437,0.102698,-0.207792
0.070000,2.479992,-1.131249,-0.000346,-2.206952,0.460525,-0.002348,-0.210895,-0.409391,0.664724,0.235808,-0.171587,-0.597337,4.377723,1.685284,1.224628,-3.850268,1.663149,-0.225792,0.692948,-1.494960
0.080000,2.483163,-1.097607,-0.000407,-2.227411,0.267601,-0.001317,-0.115970,-0.241163,1.761341,0.592280,-0.431179,-1.601753,4.401353,1.661285,1.207245,-3.892891,0.567996,-0.073134,0.224250,-0.516704
0.090000,2.411262,-1.034191,-0.000446,-2.178218,0.224163,-0.001058,-0.090851,-0.204925,1.629040,0.519715,-0.378531,-1.496791,4.353730,1.611185,1.170886,-3.871443,1.633307,-0.198952,0.609475,-1.502216
0.100000,2.300378,-0.957927,-0.000469,-2.091438,1.271706,-0.006467,-0.482095,-1.176766,1.678693,0.510347,-0.371873,-1.555399,4.260633,1.544207,1.122256,-3.809063,1.979661,-0.228891,0.700563,-1.837356
0.110000,2.198381,-0.888094,-0.000485,-2.011012,0.614405,-0.003687,-0.218446,-0.574248,2.182661,0.637190,-0.464473,-2.035255,4.168369,1.476615,1.073177,-3.747426,1.715970,-0.189822,0.580543,-1.603586
0.120000,2.138625,-0.836163,-0.000505,-1.968388,2.703815,-0.019227,-0.899107,-2.549873,2.392333,0.677954,-0.494317,-2.240377,4.109988,1.419569,1.031763,-3.716489,2.306223,-0.246483,0.753404,-2.165709
0.130000,2.108097,-0.794809,-0.000531,-1.952524,1.261834,-0.010994,-0.399795,-1.196774,2.486919,0.691573,-0.504318,-2.334985,3.965169,1.331875,0.968074,-3.607147,2.429849,-0.253981,0.776078,-2.288528
0.140000,2.084116,-0.754183,-0.000557,-1.942871,2.618116,-0.027500,-0.795999,-2.494025,2.735355,0.752589,-0.548837,-2.571878,3.348632,1.089733,0.792119,-3.065676,2.499630,-0.258151,0.788750,-2.357835
0.150000,2.341007,-0.809177,-0.000662,-2.196712,1.997299,-0.025058,-0.593589,-1.906889,3.009193,0.822386,-0.599732,-2.831827,2.762536,0.866681,0.630029,-2.546278,2.867634,-0.294422,0.899624,-2.706902
0.160000,2.511234,-0.825924,-0.000748,-2.371528,2.511408,-0.037037,-0.738434,-2.400107,2.983682,0.809261,-0.590154,-2.810547,2.962197,0.891822,0.648354,-2.749346,3.084934,-0.315268,0.963420,-2.913631
0.170000,2.660123,-0.830606,-0.000830,-2.527122,2.514186,-0.043068,-0.737981,-2.403052,2.858495,0.765702,-0.558404,-2.696827,3.105594,0.893768,0.649813,-2.902350,3.146062,-0.318956,0.974744,-2.974197
0.180000,2.801080,-0.830253,-0.000908,-2.675206,2.878779,-0.056697,-0.845719,-2.751166,2.724436,0.715755,-0.522024,-2.576380,3.225171,0.884891,0.643398,-3.033930,3.015679,-0.301427,0.921134,-2.855691
0.190000,2.940660,-0.829237,-0.000980,-2.821320,2.877260,-0.064751,-0.842939,-2.750252,2.599809,0.665055,-0.485113,-2.466044,3.326631,0.869041,0.631902,-3.148323,2.860057,-0.279892,0.855203,-2.714814
0.200000,3.080832,-0.829985,-0.001046,-2.966926,3.277670,-0.083871,-0.950232,-3.135785,2.511996,0.621727,-0.453589,-2.391200,3.403239,0.846488,0.615522,-3.238306,2.714616,-0.258531,0.789765,-2.584293
0.210000,3.216461,-0.832227,-0.001101,-3.106931,3.244887,-0.094109,-0.922250,-3.109645,2.501922,0.596173,-0.435032,-2.390594,3.457795,0.819723,0.596062,-3.305920,2.615604,-0.241344,0.737081,-2.497969
0.220000,3.335896,-0.833216,-0.001142,-3.230163,3.298040,-0.107902,-0.911752,-3.167670,2.493504,0.570102,-0.416093,-2.391529,3.495407,0.791189,0.575293,-3.355731,2.605337,-0.232280,0.709234,-2.496160
0.230000,3.441882,-0.833043,-0.001170,-3.339550,3.165396,-0.116100,-0.847523,-3.047615,2.463013,0.539027,-0.393489,-2.370876,3.514497,0.761270,0.553484,-3.386121,2.596228,-0.223351,0.681840,-2.495116
0.240000,3.504536,-0.823451,-0.001180,-3.406420,2.964611,-0.120923,-0.768339,-2.860760,2.392932,0.500062,-0.365112,-2.311440,3.501333,0.727548,0.528865,-3.383830,2.546214,-0.211136,0.644461,-2.454241
0.250000,3.518091,-0.802528,-0.001172,-3.425333,2.827748,-0.127097,-0.710770,-2.734011,2.391118,0.475587,-0.347305,-2.317464,3.463144,0.691976,0.502843,-3.355843,2.441788,-0.194738,0.594346,-2.360330
0.260000,3.482066,-0.770236,-0.001153,-3.395809,2.811629,-0.137955,-0.687373,-2.722820,2.519673,0.474749,-0.346763,-2.450127,3.418686,0.658367,0.478178,-3.320439,2.303054,-0.175880,0.536732,-2.232721
0.270000,3.400573,-0.728248,-0.001129,-3.321679,2.799176,-0.148611,-0.667057,-2.714468,2.653422,0.470552,-0.343782,-2.588638,3.389792,0.630696,0.457740,-3.298998,2.219659,-0.161186,0.491812,-2.158477
0.280000,3.307839,-0.684815,-0.001118,-3.236174,2.748940,-0.156643,-0.638375,-2.669196,2.814764,0.465922,-0.340510,-2.754971,3.375274,0.608578,0.441233,-3.290504,2.330322,-0.159411,0.486268,-2.273441
0.290000,3.273797,-0.654483,-0.001158,-3.207709,2.652915,-0.161064,-0.597991,-2.579617,2.988348,0.457282,-0.334344,-2.934166,3.360162,0.589654,0.426929,-3.280355,2.490549,-0.158681,0.483837,-2.437941
0.300000,3.269325,-0.630709,-0.001262,-3.207911,2.501722,-0.160718,-0.543019,-2.436784,3.115730,0.436486,-0.319323,-3.068433,3.286949,0.564730,0.408175,-3.212243,2.668396,-0.156360,0.476456,-2.620855
0.310000,3.246697,-0.604168,-0.001449,-3.189988,2.314387,-0.156286,-0.478210,-2.259044,3.130622,0.398252,-0.291561,-3.091469,3.166278,0.536846,0.387210,-3.096317,2.825623,-0.150368,0.457781,-2.784236
0.320000,3.147399,-0.564712,-0.001728,-3.096323,2.162475,-0.152462,-0.419364,-2.115936,3.045212,0.349902,-0.256373,-3.014159,3.114928,0.526553,0.378872,-3.046633,2.905361,-0.138881,0.422308,-2.871148
0.330000,2.962691,-0.512349,-0.002116,-2.918053,2.075869,-0.151732,-0.371905,-2.036639,2.949066,0.305365,-0.223933,-2.924653,3.106588,0.529802,0.380218,-3.037372,2.879609,-0.122660,0.372449,-2.852786
0.340000,2.772441,-0.462355,-0.002674,-2.733615,2.028370,-0.152588,-0.330132,-1.995499,2.885126,0.269221,-0.197594,-2.865734,3.058812,0.532884,0.381409,-2.987790,2.813146,-0.106257,0.322121,-2.792622
0.350000,2.641028,-0.425904,-0.003500,-2.606458,2.154607,-0.165590,-0.313134,-2.125291,2.869110,0.241458,-0.177356,-2.853425,3.007708,0.541786,0.386769,-2.933118,2.746320,-0.091712,0.277552,-2.730720
0.360000,2.553075,-0.400654,-0.004654,-2.521438,2.224893,-0.173416,-0.283858,-2.199886,2.850405,0.216182,-0.158904,-2.837749,2.963398,0.557552,0.397050,-2.883265,2.698174,-0.079399,0.239866,-2.686318
0.370000,2.485473,-0.383772,-0.006185,-2.455658,2.231822,-0.175133,-0.245855,-2.211315,2.705049,0.183839,-0.135232,-2.695404,2.904059,0.574679,0.408328,-2.817192,2.674862,-0.068888,0.207722,-2.665894
0.380000,2.410755,-0.372135,-0.008081,-2.381846,2.207907,-0.173122,-0.206483,-2.191403,2.365513,0.142096,-0.104626,-2.358922,2.852005,0.595645,0.422352,-2.756947,2.647773,-0.058831,0.177001,-2.641196
0.390000,2.287676,-0.359976,-0.010157,-2.259154,2.179425,-0.169426,-0.169724,-2.166191,1.993846,0.103445,-0.076278,-1.989699,2.796720,0.616371,0.436196,-2.692854,2.462221,-0.045936,0.137777,-2.457934
0.400000,2.137870,-0.350092,-0.012340,-2.108974,2.150150,-0.164366,-0.135903,-2.139547,1.723613,0.074759,-0.055255,-1.721104,2.725671,0.631886,0.446307,-2.613582,2.103956,-0.031428,0.093797,-2.101629
0.410000,2.021959,-0.351293,-0.014872,-1.991153,2.141725,-0.159609,-0.105615,-2.133156,1.486875,0.051568,-0.038268,-1.485487,2.666093,0.646576,0.455742,-2.546034,1.790468,-0.019755,0.058421,-1.789406
0.420000,1.951476,-0.365312,-0.017915,-1.916895,2.123895,-0.152902,-0.076237,-2.117012,1.321026,0.034362,-0.025691,-1.320330,2.623695,0.660895,0.464766,-2.496194,1.574204,-0.011051,0.032006,-1.573840
0.430000,1.895564,-0.386407,-0.021285,-1.855640,2.080879,-0.143321,-0.047089,-2.075403,1.386747,0.024465,-0.018582,-1.386406,2.587372,0.671529,0.470999,-2.453916,1.360459,-0.004087,0.010899,-1.360410
0.440000,1.852020,-0.413608,-0.024962,-1.805072,2.012512,-0.131258,-0.018680,-2.008140,1.526676,0.015044,-0.011921,-1.526555,2.544037,0.674728,0.471786,-2.407132,1.254236,0.001133,-0.005007,-1.254225
0.450000,1.900751,-0.466076,-0.030224,-1.842475,1.856751,-0.113412,0.007878,-1.853267,1.701092,0.005034,-0.004971,-1.701078,2.481737,0.667285,0.464906,-2.344699,1.392225,0.006362,-0.021280,-1.392048
0.460000,1.974505,-0.531155,-0.036452,-1.901372,1.627713,-0.091982,0.029128,-1.624851,1.801841,-0.004905,0.001795,-1.801834,2.407104,0.651443,0.451989,-2.272769,1.576645,0.012415,-0.040236,-1.576083
0.470000,2.090069,-0.615039,-0.044154,-1.997039,1.471292,-0.075906,0.046264,-1.468604,1.828408,-0.012711,0.006840,-1.828351,2.342923,0.634326,0.438047,-2.212472,1.747748,0.018677,-0.060010,-1.746618
0.480000,2.212606,-0.709034,-0.052767,-2.095259,1.436248,-0.066700,0.063934,-1.433274,1.802789,-0.017318,0.009352,-1.802681,2.360600,0.636362,0.437174,-2.230775,1.838360,0.023699,-0.076173,-1.836628
0.490000,2.328099,-0.807560,-0.061853,-2.182675,1.426354,-0.058723,0.080926,-1.422846,1.755248,-0.018721,0.009283,-1.755124,2.412900,0.645730,0.441138,-2.282656,1.856478,0.026779,-0.086653,-1.854261
0.500000,2.423413,-0.903155,-0.070775,-2.247717,1.393608,-0.050015,0.094498,-1.389500,1.701233,-0.017311,0.006881,-1.701131,2.459616,0.652821,0.443401,-2.329577,1.835376,0.028031,-0.091907,-1.832859
0.510000,2.486869,-0.986904,-0.078740,-2.281301,1.495794,-0.045956,0.115846,-1.490593,1.660348,-0.013610,0.002435,-1.660291,2.494759,0.657435,0.443954,-2.365271,1.805844,0.027909,-0.093466,-1.803208
0.520000,2.511874,-1.050603,-0.084998,-2.280026,1.641022,-0.042406,0.140090,-1.634481,1.653791,-0.007878,-0.004064,-1.653767,2.518799,0.660951,0.443878,-2.389658,1.770474,0.026560,-0.091855,-1.767890
0.530000,2.499892,-1.089387,-0.089083,-2.248279,1.746900,-0.037429,0.159566,-1.739194,1.676832,0.000272,-0.013070,-1.676781,2.535256,0.665178,0.444512,-2.405716,1.733255,0.024152,-0.087669,-1.730868
