time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz,drone3_x,drone3_y,drone3_z,drone3_vx,drone3_vy,drone3_vz,drone3_qw,drone3_qx,drone3_qy,drone3_qz,drone3_wx,drone3_wy,drone3_wz,drone4_x,drone4_y,drone4_z,drone4_vx,drone4_vy,drone4_vz,drone4_qw,drone4_qx,drone4_qy,drone4_qz,drone4_wx,drone4_wy,drone4_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185410,0.570634,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.485410,0.352671,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.485410,-0.352671,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185410,-0.570634,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.000016,-0.000017,0.159555,-0.003159,-0.003236,-0.087183,1.000000,-0.000016,0.000016,-0.000000,-0.006386,0.006307,-0.000000,0.599990,0.000000,1.199946,-0.002210,0.000060,-0.011155,1.000000,0.000000,0.000061,-0.000000,0.000136,0.022616,-0.000000,0.185411,0.570634,1.200000,0.000120,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000263,0.000000,-0.485410,0.352671,1.200000,0.000120,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000263,0.000000,-0.485378,-0.352648,1.199809,0.006371,0.004601,-0.037720,1.000000,0.000131,-0.000174,0.000000,0.044810,-0.060019,0.000000,0.185411,-0.570634,1.200000,0.000120,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000263,0.000000
0.020000,-0.000064,-0.000065,0.158238,-0.006306,-0.006442,-0.174502,1.000000,-0.000064,0.000064,-0.000000,-0.012669,0.012544,-0.000000,0.599953,0.000001,1.199769,-0.005138,0.000120,-0.024243,1.000000,0.000002,0.000220,-0.000000,0.000371,0.040255,-0.000000,0.185413,0.570635,1.200000,0.000242,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000371,-0.000728,0.000000,-0.485408,0.352672,1.200000,0.000242,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000371,-0.000728,0.000000,-0.485280,-0.352577,1.199247,0.013062,0.009433,-0.073394,1.000000,0.000420,-0.000565,0.000000,0.068984,-0.093943,0.000000,0.185413,-0.570633,1.200000,0.000241,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000371,-0.000728,0.000000
0.030000,-0.000142,-0.000146,0.156048,-0.009293,-0.009620,-0.261709,1.000000,-0.000143,0.000141,0.000000,-0.018821,0.018389,0.000001,0.599885,0.000003,1.199457,-0.008553,0.000180,-0.038005,1.000000,0.000004,0.000464,-0.000000,0.000612,0.056910,-0.000000,0.185416,0.570637,1.200000,0.000362,0.000180,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000614,-0.001216,0.000000,-0.485405,0.352674,1.200000,0.000362,0.000180,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000614,-0.001216,0.000000,-0.485115,-0.352458,1.198343,0.019928,0.014392,-0.106300,0.999999,0.000817,-0.001107,0.000000,0.088973,-0.121926,0.000000,0.185416,-0.570631,1.200000,0.000362,0.000180,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000615,-0.001216,0.000000
0.040000,-0.000250,-0.000259,0.152989,-0.012093,-0.012871,-0.348269,1.000000,-0.000253,0.000247,0.000000,-0.025011,0.023791,0.000011,0.599780,0.000005,1.199005,-0.012348,0.000239,-0.052103,1.000000,0.000008,0.000791,-0.000000,0.000845,0.073649,-0.000000,0.185420,0.570639,1.200000,0.000481,0.000239,-0.000002,1.000000,0.000008,-0.000015,0.000000,0.000849,-0.001690,0.000000,-0.485400,0.352676,1.200000,0.000481,0.000240,-0.000002,1.000000,0.000008,-0.000015,0.000000,0.000849,-0.001690,0.000000,-0.484880,-0.352288,1.197124,0.026867,0.019403,-0.136490,0.999998,0.001309,-0.001783,0.000000,0.107535,-0.147796,0.000001,0.185420,-0.570629,1.200000,0.000481,0.000240,-0.000002,1.000000,0.000008,-0.000015,0.000000,0.000850,-0.001690,0.000000
0.050000,-0.000377,-0.000397,0.149114,-0.009290,-0.010240,-0.381876,1.000000,-0.000331,0.000322,0.000000,0.068419,-0.062071,0.000037,0.599636,0.000008,1.198411,-0.016467,0.000297,-0.066524,0.999999,0.000012,0.001203,-0.000000,0.001064,0.090802,-0.000000,0.185425,0.570641,1.200000,0.000599,0.000298,-0.000003,1.000000,0.000013,-0.000025,0.000000,0.001072,-0.002142,0.000000,-0.485382,0.352669,1.199913,0.002414,-0.001021,-0.011504,1.000000,-0.000039,-0.000093,-0.000000,-0.009097,-0.016033,-0.000000,-0.484576,-0.352069,1.195616,0.033814,0.024420,-0.164161,0.999995,0.001892,-0.002585,0.000000,0.125199,-0.172371,0.000001,0.185423,-0.570620,1.199963,-0.000061,0.002330,-0.011835,1.000000,0.000056,-0.000011,0.000000,0.024051,0.005062,0.000001
0.060000,-0.000480,-0.000509,0.147524,-0.011204,-0.012126,-0.002616,1.000000,0.000045,-0.000022,0.000000,0.081473,-0.075265,0.000025,0.599449,0.000011,1.197670,-0.020864,0.000354,-0.081274,0.999999,0.000018,0.001701,-0.000000,0.001269,0.108238,-0.000000,0.185432,0.570645,1.200000,0.000715,0.000355,-0.000003,1.000000,0.000018,-0.000037,0.000000,0.001284,-0.002572,0.000000,-0.485355,0.352658,1.199795,0.003219,-0.001464,-0.013893,1.000000,-0.000079,-0.000168,-0.000000,-0.010795,-0.018932,-0.000001,-0.484203,-0.351799,1.193843,0.040736,0.029419,-0.189643,0.999991,0.002562,-0.003508,0.000000,0.142136,-0.195921,0.000001,0.185422,-0.570593,1.199836,-0.000114,0.002905,-0.013022,1.000000,0.000152,0.000006,0.000000,0.016435,0.002383,0.000000
0.070000,-0.000602,-0.000638,0.147887,-0.013226,-0.013614,0.051318,1.000000,0.000479,-0.000433,0.000000,0.091340,-0.088717,-0.000082,0.599217,0.000015,1.196784,-0.025340,0.000408,-0.095451,0.999997,0.000025,0.002284,-0.000000,0.001460,0.124258,-0.000000,0.185439,0.570637,1.199933,0.000796,-0.002570,-0.017220,1.000000,-0.000049,-0.000050,-0.000000,-0.029691,-0.002638,-0.000003,-0.485308,0.352633,1.199566,0.005517,-0.002997,-0.026894,1.000000,-0.000174,-0.000320,-0.000000,-0.019770,-0.032018,-0.000002,-0.483760,-0.351480,1.191826,0.047532,0.034327,-0.212718,0.999984,0.003313,-0.004544,0.000000,0.157810,-0.217742,0.000002,0.185420,-0.570558,1.199679,-0.000705,0.005121,-0.024159,1.000000,0.000261,0.000025,0.000000,0.037565,0.008485,0.000002
0.080000,-0.000745,-0.000782,0.148391,-0.015271,-0.015093,0.047049,0.999999,0.000960,-0.000911,-0.000001,0.101101,-0.102269,-0.000224,0.598942,0.000019,1.195765,-0.029636,0.000461,-0.107767,0.999996,0.000033,0.002941,-0.000000,0.001636,0.137583,-0.000001,0.185448,0.570608,1.199755,0.000897,-0.003073,-0.018052,1.000000,-0.000161,-0.000064,-0.000000,-0.018339,-0.003124,-0.000001,-0.485245,0.352598,1.199267,0.007501,-0.004307,-0.036565,1.000000,-0.000280,-0.000492,-0.000000,-0.027429,-0.042850,-0.000003,-0.483252,-0.351112,1.189594,0.054049,0.039034,-0.232779,0.999975,0.004138,-0.005683,0.000000,0.171631,-0.237025,0.000002,0.185410,-0.570496,1.199395,-0.001110,0.006751,-0.030096,1.000000,0.000453,0.000068,0.000000,0.036233,0.007916,0.000002
0.090000,-0.000909,-0.000941,0.148797,-0.017528,-0.016723,0.033696,0.999998,0.001492,-0.001459,-0.000002,0.111871,-0.117243,-0.000403,0.598625,0.000024,1.194636,-0.033564,0.000512,-0.117355,0.999993,0.000041,0.003656,-0.000000,0.001800,0.147891,-0.000001,0.185457,0.570576,1.199576,0.000997,-0.003425,-0.017400,1.000000,-0.000246,-0.000081,-0.000000,-0.016347,-0.003487,-0.000001,-0.485160,0.352548,1.198850,0.009454,-0.005599,-0.045062,1.000000,-0.000428,-0.000722,-0.000000,-0.030222,-0.047635,-0.000003,-0.482680,-0.350699,1.187179,0.060132,0.043427,-0.249250,0.999963,0.005027,-0.006911,0.000000,0.183191,-0.253200,0.000001,0.185396,-0.570418,1.199045,-0.001849,0.009391,-0.042702,1.000000,0.000670,0.000118,0.000000,0.053668,0.013034,0.000005
