time,wind_vx,wind_vy,wind_vz
0.000000,1.000000,0.500000,0.000000
0.010000,1.000106,0.498336,-0.002824
0.020000,1.004678,0.501004,-0.007202
0.030000,1.005668,0.500022,-0.009043
0.040000,1.004183,0.500342,-0.004599
0.050000,1.007986,0.498721,-0.004746
0.060000,1.008128,0.498621,-0.003541
0.070000,1.001071,0.497346,-0.001137
0.080000,0.995656,0.499517,-0.003884
0.090000,0.994543,0.503454,-0.000928
0.100000,0.996499,0.506436,-0.001536
0.110000,0.997635,0.502801,0.002304
0.120000,0.996357,0.502809,-0.001591
0.130000,0.997846,0.502220,-0.002413
0.140000,0.997271,0.506204,-0.003698
0.150000,0.991067,0.504419,-0.000048
0.160000,0.989163,0.503146,-0.003461
0.170000,0.989202,0.499707,-0.004775
0.180000,0.989299,0.499222,-0.005478
0.190000,0.994304,0.502432,0.000194
0.200000,0.992594,0.500830,0.003882
0.210000,0.994390,0.504231,0.001395
0.220000,0.992359,0.503117,-0.002477
0.230000,0.992432,0.506697,-0.005156
0.240000,0.991007,0.510266,-0.007354
0.250000,0.987800,0.506638,-0.007768
0.260000,0.986660,0.508848,-0.011018
0.270000,0.986497,0.505814,-0.017114
0.280000,0.990430,0.507507,-0.018406
0.290000,0.992202,0.505641,-0.018782
0.300000,0.991651,0.508563,-0.017150
0.310000,0.988758,0.511632,-0.017238
0.320000,0.992134,0.511760,-0.017014
0.330000,0.995765,0.503955,-0.022951
0.340000,0.995880,0.503145,-0.019586
0.350000,0.999344,0.502892,-0.019689
0.360000,1.001792,0.495270,-0.016689
0.370000,1.006585,0.497584,-0.012008
0.380000,1.011034,0.499294,-0.020515
0.390000,1.011687,0.502299,-0.020680
0.400000,1.010277,0.502811,-0.021031
0.410000,1.009839,0.506221,-0.018366
0.420000,1.007286,0.511903,-0.014955
0.430000,1.005884,0.514289,-0.016275
0.440000,1.004977,0.513487,-0.017822
0.450000,1.001432,0.509755,-0.018673
0.460000,1.003691,0.502369,-0.019955
0.470000,1.000769,0.507207,-0.014361
0.480000,0.999324,0.504307,-0.008553
0.490000,1.003351,0.503185,-0.004493
0.500000,0.998922,0.505771,-0.004285
0.510000,1.002063,0.506545,-0.002295
0.520000,1.001338,0.507477,0.004970
0.530000,0.998559,0.516118,-0.001190
0.540000,1.002387,0.518836,0.000658
0.550000,1.000363,0.520680,0.002137
0.560000,1.001905,0.524652,0.007766
0.570000,1.001309,0.524829,0.002660
0.580000,1.000976,0.525838,0.002448
0.590000,1.001308,0.520585,0.009665
0.600000,1.000065,0.520514,0.008664
0.610000,1.000617,0.518444,0.012825
0.620000,0.999161,0.514395,0.013799
0.630000,1.002934,0.518090,0.013010
0.640000,1.002908,0.517049,0.017984
0.650000,1.004245,0.518638,0.022414
0.660000,1.004878,0.517330,0.027913
0.670000,1.001693,0.519330,0.026668
0.680000,1.002019,0.528608,0.031020
0.690000,1.002224,0.536075,0.029177
0.700000,1.002383,0.535584,0.025062
0.710000,1.005524,0.536288,0.035555
0.720000,1.001030,0.538544,0.035270
0.730000,1.001535,0.539307,0.028817
0.740000,0.997887,0.544153,0.030124
0.750000,0.997253,0.540842,0.030767
0.760000,0.996519,0.542732,0.030955
0.770000,0.997565,0.546184,0.030524
0.780000,0.996312,0.544438,0.035606
0.790000,0.995108,0.544883,0.037639
0.800000,0.996234,0.554364,0.035088
0.810000,0.998220,0.554957,0.033079
0.820000,1.001239,0.561749,0.029053
0.830000,0.998320,0.560501,0.029195
0.840000,1.001405,0.565890,0.027847
0.850000,1.000109,0.566117,0.023171
0.860000,1.000095,0.561439,0.025518
0.870000,0.998650,0.560142,0.027440
0.880000,1.006621,0.559843,0.026059
0.890000,1.007001,0.558379,0.023878
0.900000,0.999916,0.558971,0.026385
0.910000,1.003606,0.557742,0.021173
0.920000,1.001244,0.561088,0.018292
0.930000,0.998724,0.563522,0.017195
0.940000,1.003380,0.565977,0.018716
0.950000,1.004611,0.560715,0.017201
0.960000,1.004509,0.560858,0.018431
0.970000,1.002072,0.560424,0.014136
0.980000,1.004688,0.567376,0.012286
0.990000,1.008211,0.566233,0.010833
1.000000,1.007981,0.571567,0.013092
1.010000,1.008267,0.569153,0.015510
1.020000,1.007197,0.568286,0.011511
1.030000,1.007598,0.572463,0.013345
1.040000,1.011551,0.573142,0.014281
1.050000,1.008125,0.569306,0.012059
1.060000,1.002124,0.566206,0.014009
1.070000,1.002156,0.568261,0.016086
1.080000,1.003696,0.571335,0.013264
1.090000,1.009217,0.569690,0.015271
1.100000,1.007830,0.571674,0.013335
1.110000,1.008526,0.565383,0.012086
1.120000,1.007861,0.562697,0.011855
1.130000,1.004795,0.563771,0.010573
1.140000,1.008189,0.564001,0.007545
1.150000,1.006060,0.566078,0.005442
1.160000,1.000624,0.565367,0.006716
1.170000,1.005776,0.564382,0.009071
1.180000,1.006967,0.558769,0.008557
1.190000,1.006343,0.559501,0.009775
1.200000,1.002444,0.556824,0.009085
1.210000,1.004150,0.559865,0.001788
1.220000,1.002812,0.561554,0.001907
1.230000,1.003121,0.566731,0.003458
1.240000,1.008434,0.568375,0.008329
1.250000,1.007937,0.574476,0.007278
1.260000,1.013756,0.570615,-0.000322
1.270000,1.013536,0.573432,-0.004776
1.280000,1.005831,0.570464,-0.008027
1.290000,1.009806,0.573041,-0.012673
1.300000,1.009647,0.578914,-0.016871
1.310000,1.009729,0.580556,-0.018460
1.320000,1.011075,0.584271,-0.017404
1.330000,1.014186,0.582074,-0.017692
1.340000,1.015267,0.586099,-0.018657
1.350000,1.019329,0.585584,-0.016116
1.360000,1.024099,0.590533,-0.017902
1.370000,1.023235,0.587740,-0.023024
1.380000,1.019405,0.591971,-0.025629
1.390000,1.018560,0.589891,-0.024242
1.400000,1.021188,0.591895,-0.024495
1.410000,1.024316,0.591285,-0.019665
1.420000,1.024296,0.592654,-0.018478
1.430000,1.023081,0.593139,-0.019503
1.440000,1.025157,0.599403,-0.021121
1.450000,1.030458,0.597343,-0.016421
1.460000,1.031021,0.599219,-0.017967
1.470000,1.030535,0.601491,-0.015273
1.480000,1.034812,0.598450,-0.020026
1.490000,1.035412,0.600559,-0.021061
1.500000,1.031054,0.607063,-0.022401
1.510000,1.029070,0.602687,-0.019698
1.520000,1.027869,0.600399,-0.015538
1.530000,1.026440,0.606242,-0.012765
1.540000,1.024112,0.610897,-0.015899
1.550000,1.025603,0.611668,-0.016174
1.560000,1.017792,0.615131,-0.016897
1.570000,1.022361,0.617240,-0.018446
1.580000,1.021655,0.617738,-0.016243
1.590000,1.019570,0.618433,-0.020189
1.600000,1.018866,0.618248,-0.020648
1.610000,1.017411,0.618802,-0.017323
1.620000,1.019148,0.623454,-0.019472
1.630000,1.021338,0.626246,-0.016727
1.640000,1.020339,0.629398,-0.018769
1.650000,1.016702,0.631004,-0.025854
1.660000,1.021518,0.630111,-0.022572
1.670000,1.020737,0.634289,-0.025749
1.680000,1.017224,0.633486,-0.025091
1.690000,1.020261,0.631513,-0.034122
1.700000,1.016837,0.629740,-0.034627
1.710000,1.021497,0.629412,-0.037698
1.720000,1.025463,0.630538,-0.040242
1.730000,1.027200,0.634648,-0.038794
1.740000,1.028729,0.631284,-0.043410
1.750000,1.028300,0.628799,-0.042298
1.760000,1.029559,0.628510,-0.041859
1.770000,1.029378,0.628870,-0.038319
1.780000,1.031820,0.633398,-0.039972
1.790000,1.031855,0.632944,-0.038410
