time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,0.000000,0.000000,0.000000,0.253165,0.066128,-0.114554,-0.215864,0.000000,0.000000,0.000000,0.000000
0.030000,0.000000,0.000000,0.000000,0.000000,0.595701,0.152516,-0.264250,-0.511635,0.000000,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,0.000000,0.000000,1.394003,0.347276,-0.601850,-1.208478,0.000000,0.000000,0.000000,0.000000
0.050000,0.966056,-0.465363,-0.000085,-0.846582,1.571782,0.378678,-0.656488,-1.376998,0.287373,0.069143,0.119820,-0.251884
0.060000,0.246058,-0.113590,-0.000030,-0.218270,1.914315,0.444179,-0.770337,-1.695255,0.235338,0.054197,0.093944,-0.208857
0.070000,2.828226,-1.239572,-0.000463,-2.542110,2.188934,0.488504,-0.847557,-1.958174,1.194762,0.261550,0.453493,-1.073961
0.080000,0.586532,-0.243780,-0.000119,-0.533470,2.270350,0.488126,-0.847243,-2.049000,0.576087,0.119424,0.207133,-0.524127
0.090000,2.029592,-0.796821,-0.000488,-1.866633,2.261175,0.469834,-0.815798,-2.055879,1.326421,0.260538,0.452035,-1.219499
0.100000,1.389479,-0.517999,-0.000377,-1.289313,2.226863,0.448532,-0.779074,-2.037347,2.351438,0.439030,0.761968,-2.180807
0.110000,1.854626,-0.662030,-0.000547,-1.732442,2.183699,0.427123,-0.742116,-2.008824,2.196753,0.393794,0.683636,-2.050192
0.120000,2.619535,-0.905459,-0.000810,-2.458070,2.139599,0.406327,-0.706190,-1.978403,2.201779,0.383562,0.665989,-2.063291
0.130000,2.688627,-0.912230,-0.000844,-2.529140,2.100470,0.386396,-0.671749,-1.952288,2.774130,0.475364,0.825454,-2.605466
0.140000,2.683242,-0.903256,-0.000837,-2.526641,2.072940,0.367807,-0.639637,-1.937180,3.109585,0.529183,0.918912,-2.923198
0.150000,3.178298,-1.067545,-0.000971,-2.993647,2.069061,0.352074,-0.612501,-1.944710,3.300274,0.560127,0.972608,-3.103563
0.160000,3.494214,-1.170955,-0.001044,-3.292171,2.073389,0.336152,-0.585051,-1.960526,3.371076,0.569729,0.989244,-3.171901
0.170000,3.369209,-1.120858,-0.000992,-3.177301,2.375758,0.364601,-0.634874,-2.260138,3.101763,0.518943,0.901063,-2.922279
0.180000,3.084647,-1.011164,-0.000904,-2.914205,2.755555,0.398558,-0.694378,-2.636678,2.869862,0.471617,0.818927,-2.709805
0.190000,2.895688,-0.928337,-0.000851,-2.742845,2.916712,0.397326,-0.692621,-2.805283,2.813089,0.450631,0.782554,-2.664210
