time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000008,0.000000,0.159512,0.001595,0.000037,-0.095675,1.000000,0.000000,-0.000008,-0.000000,0.000000,-0.002967,-0.000000,0.599988,0.000000,1.199937,-0.002630,0.000060,-0.012996,1.000000,0.000000,0.000072,-0.000000,0.000136,0.026707,-0.000000,-0.299999,0.519616,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000,-0.299999,-0.519615,1.200000,0.000121,0.000060,-0.000000,1.000000,0.000000,-0.000001,0.000000,0.000136,-0.000264,0.000000
0.020000,0.000032,0.000001,0.158068,0.003269,0.000075,-0.191224,1.000000,0.000000,-0.000030,-0.000000,0.000000,-0.006084,-0.000000,0.599944,0.000001,1.199732,-0.006088,0.000120,-0.027835,1.000000,0.000002,0.000260,-0.000000,0.000369,0.047429,-0.000000,-0.299998,0.519616,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000,-0.299998,-0.519614,1.200000,0.000240,0.000120,-0.000001,1.000000,0.000002,-0.000003,0.000000,0.000369,-0.000726,0.000000
0.030000,0.000075,0.000002,0.155670,0.005261,0.000112,-0.286266,1.000000,0.000000,-0.000070,-0.000000,0.000001,-0.009808,-0.000001,0.599863,0.000003,1.199376,-0.010137,0.000179,-0.043275,1.000000,0.000004,0.000547,-0.000000,0.000609,0.067286,-0.000000,-0.299995,0.519618,1.200000,0.000361,0.000179,-0.000002,1.000000,0.000004,-0.000008,0.000000,0.000611,-0.001212,0.000000,-0.299995,-0.519612,1.200000,0.000481,0.000387,-0.000404,1.000000,0.000004,-0.000008,0.000000,0.003985,-0.003029,0.000000
0.040000,0.000140,0.000003,0.152326,0.007716,0.000150,-0.380575,1.000000,0.000000,-0.000130,-0.000000,0.000003,-0.014405,-0.000002,0.599739,0.000005,1.198862,-0.014710,0.000238,-0.059241,1.000000,0.000008,0.000936,-0.000000,0.000840,0.087893,-0.000000,-0.299990,0.519620,1.200000,0.000481,0.000238,-0.000003,1.000000,0.000008,-0.000015,0.000000,0.000844,-0.001687,0.000000,-0.299983,-0.519597,1.199925,0.001398,0.001827,-0.008623,1.000000,0.000074,-0.000052,0.000000,0.012418,-0.008340,0.000000
0.050000,0.000217,0.000004,0.148348,0.006582,0.000133,-0.294530,1.000000,-0.000002,-0.000100,-0.000000,-0.000894,0.044103,-0.000004,0.599566,0.000007,1.198185,-0.019782,0.000296,-0.075923,0.999999,0.000012,0.001430,-0.000000,0.001058,0.109698,-0.000000,-0.299985,0.519623,1.200000,0.000600,0.000297,-0.000004,1.000000,0.000012,-0.000025,0.000000,0.001068,-0.002143,0.000000,-0.299963,-0.519570,1.199796,0.002698,0.003931,-0.018863,1.000000,0.000176,-0.000117,0.000000,0.028902,-0.017927,0.000001
0.060000,0.000288,0.000006,0.147471,0.007281,0.000160,0.023166,1.000000,-0.000007,0.000137,-0.000000,-0.001075,0.048951,-0.000005,0.599341,0.000011,1.197338,-0.025246,0.000353,-0.093016,0.999998,0.000018,0.002036,-0.000000,0.001264,0.131649,-0.000000,-0.299978,0.519626,1.200000,0.000716,0.000354,-0.000004,1.000000,0.000018,-0.000037,0.000000,0.001280,-0.002574,0.000000,-0.299931,-0.519522,1.199576,0.004026,0.006087,-0.027841,1.000000,0.000333,-0.000215,0.000000,0.040130,-0.024670,0.000001
0.070000,0.000361,0.000008,0.147916,0.007338,0.000187,0.051524,1.000000,-0.000012,0.000383,-0.000000,-0.001254,0.049263,-0.000005,0.599061,0.000015,1.196328,-0.030622,0.000408,-0.108080,0.999996,0.000025,0.002742,-0.000000,0.001456,0.149851,-0.000001,-0.299960,0.519611,1.199876,0.002359,-0.002240,-0.017228,1.000000,-0.000076,-0.000107,-0.000000,-0.019338,-0.014889,-0.000002,-0.299883,-0.519449,1.199252,0.005572,0.008625,-0.037996,1.000000,0.000554,-0.000351,0.000000,0.051090,-0.031330,0.000002
0.080000,0.000435,0.000010,0.148403,0.007397,0.000214,0.044287,1.000000,-0.000019,0.000630,-0.000000,-0.001432,0.049573,-0.000005,0.598729,0.000019,1.195187,-0.035512,0.000461,-0.119150,0.999994,0.000033,0.003527,-0.000000,0.001635,0.163166,-0.000001,-0.299934,0.519587,1.199704,0.002703,-0.002588,-0.016770,1.000000,-0.000156,-0.000173,-0.000000,-0.013901,-0.012427,-0.000001,-0.299819,-0.519348,1.198813,0.007343,0.011554,-0.049706,1.000000,0.000840,-0.000526,0.000000,0.063548,-0.038817,0.000002
0.090000,0.000509,0.000012,0.148779,0.007454,0.000241,0.030565,1.000000,-0.000027,0.000878,-0.000000,-0.001609,0.049895,-0.000005,0.598352,0.000024,1.193960,-0.039721,0.000512,-0.125507,0.999990,0.000041,0.004368,-0.000000,0.001800,0.172117,-0.000002,-0.299905,0.519558,1.199531,0.003864,-0.004362,-0.027027,1.000000,-0.000237,-0.000243,-0.000000,-0.034560,-0.024043,-0.000005,-0.299735,-0.519217,1.198252,0.009269,0.014758,-0.062309,0.999999,0.001190,-0.000740,0.000000,0.076638,-0.046639,0.000003
