time,wind_vx,wind_vy,wind_vz
0.000000,1.000000,0.500000,0.000000
0.010000,1.001786,0.498116,-0.002817
0.020000,0.998464,0.497853,-0.005347
0.030000,1.007351,0.499103,-0.009779
0.040000,1.008759,0.496218,-0.014969
0.050000,1.009698,0.500630,-0.015445
0.060000,1.009242,0.499584,-0.006145
0.070000,1.008353,0.501381,-0.006466
0.080000,1.015419,0.495689,-0.003637
0.090000,1.013699,0.496344,-0.010074
0.100000,1.013322,0.498815,-0.006570
0.110000,1.006736,0.496334,-0.003731
0.120000,0.998741,0.496839,-0.004726
0.130000,0.995163,0.498213,-0.006409
0.140000,0.991846,0.501101,-0.007400
0.150000,0.990023,0.507062,-0.000975
0.160000,0.989157,0.511420,0.001070
0.170000,0.994497,0.506799,-0.001145
0.180000,0.995629,0.505630,0.004196
0.190000,0.994941,0.509283,0.004998
0.200000,0.993671,0.507065,-0.002181
0.210000,0.999779,0.503819,-0.003750
0.220000,0.992715,0.509010,-0.001448
0.230000,0.994331,0.512766,-0.006859
0.240000,0.989124,0.515668,-0.002177
0.250000,0.984905,0.508700,-0.000412
0.260000,0.984140,0.501820,-0.005265
0.270000,0.983644,0.502912,-0.005650
0.280000,0.977086,0.500088,-0.006808
0.290000,0.985542,0.499998,-0.010040
0.300000,0.981513,0.502154,-0.009863
0.310000,0.990132,0.504341,-0.005187
0.320000,0.991164,0.508592,0.000478
0.330000,0.983287,0.507469,0.003690
0.340000,0.990106,0.505132,0.000088
0.350000,0.989491,0.509990,0.002939
0.360000,0.985162,0.509363,0.002630
0.370000,0.982897,0.508849,-0.003910
0.380000,0.990067,0.514191,-0.009272
0.390000,0.986969,0.513687,-0.009886
0.400000,0.984166,0.520120,-0.013243
0.410000,0.977176,0.522168,-0.014232
0.420000,0.978560,0.516949,-0.015522
0.430000,0.978732,0.517634,-0.017201
0.440000,0.977030,0.512583,-0.021954
0.450000,0.976663,0.512228,-0.029092
0.460000,0.982229,0.508568,-0.030630
0.470000,0.985358,0.517125,-0.030670
0.480000,0.982929,0.512766,-0.031600
0.490000,0.978966,0.516823,-0.030849
0.500000,0.985869,0.516456,-0.029130
0.510000,0.986517,0.522674,-0.026261
0.520000,0.985801,0.516745,-0.027118
0.530000,0.987478,0.521196,-0.030122
0.540000,0.987432,0.514972,-0.033190
0.550000,0.992180,0.509971,-0.039068
0.560000,0.993687,0.509586,-0.037447
0.570000,0.994962,0.510093,-0.034955
0.580000,0.992773,0.506921,-0.036824
0.590000,0.997190,0.503133,-0.028160
