time,drone0_tau_x,drone0_tau_y,drone0_tau_z,drone0_f_x,drone0_f_y,drone0_f_z,drone1_tau_x,drone1_tau_y,drone1_tau_z,drone1_f_x,drone1_f_y,drone1_f_z,drone2_tau_x,drone2_tau_y,drone2_tau_z,drone2_f_x,drone2_f_y,drone2_f_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750,0.000000,0.000000,0.000000,0.000000,0.000000,22.317750
0.010000,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317759,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317757,0.000300,-0.000631,-0.000000,-0.000022,-0.000012,22.317760
0.020000,0.000339,-0.000724,-0.000000,-0.000133,-0.000068,22.317774,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317771,0.000338,-0.000724,-0.000000,-0.000133,-0.000068,22.317776
0.030000,0.000335,-0.000726,-0.000000,-0.000350,-0.000178,22.317803,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317797,0.000335,-0.000725,-0.000000,-0.000350,-0.000178,22.317806
0.040000,0.000320,-0.000699,-0.000000,-0.000675,-0.000342,22.317845,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317837,0.000319,-0.000698,-0.000000,-0.000675,-0.000341,22.317850
0.050000,0.000318,-0.041928,-0.000001,0.000337,-0.000529,21.241995,0.000306,-0.000666,-0.000000,-0.001104,-0.000555,22.317874,-0.031497,0.016723,-0.000001,-0.002211,-0.002585,22.106916
0.060000,0.000293,-0.016790,-0.000001,0.004360,-0.000828,22.584931,0.000288,-0.000628,-0.000000,-0.001631,-0.000818,22.317880,-0.011980,0.006513,-0.000001,-0.004876,-0.006538,22.630764
0.070000,0.000298,-0.046863,-0.000002,0.006849,-0.000957,18.957575,0.014791,0.030475,0.000003,-0.007120,0.001171,22.427733,-0.044487,0.023970,-0.000004,-0.007677,-0.010872,21.050162
0.080000,0.000270,-0.032562,-0.000002,0.016710,-0.001518,22.956694,0.006360,0.013082,0.000002,-0.012695,0.002980,22.834999,-0.024013,0.013426,-0.000003,-0.013539,-0.019962,23.002369
0.090000,0.000280,-0.054554,-0.000005,0.023853,-0.001762,21.091939,0.004497,0.008881,0.000002,-0.017705,0.004457,23.000199,-0.046270,0.025524,-0.000008,-0.019072,-0.028828,22.004358
0.100000,0.000257,-0.043282,-0.000005,0.035487,-0.002180,21.260371,0.021059,0.043934,0.000011,-0.028614,0.008707,22.923234,-0.047657,0.026333,-0.000010,-0.024670,-0.037859,20.579414
