time,drone0_ax,drone0_ay,drone0_az,drone0_wx,drone0_wy,drone0_wz,drone1_ax,drone1_ay,drone1_az,drone1_wx,drone1_wy,drone1_wz,drone2_ax,drone2_ay,drone2_az,drone2_wx,drone2_wy,drone2_wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.055921,-0.131288,9.828147,-0.001265,-0.001656,-0.004724,-0.037445,0.042620,9.844970,-0.002566,0.009105,0.004860,0.056326,0.050867,9.882346,-0.000379,-0.007102,-0.000148
0.020000,0.154296,0.049287,9.729749,-0.012844,-0.001806,0.004105,0.099668,0.034340,9.776809,0.002321,-0.002952,0.011622,0.074493,-0.008972,9.752344,-0.005432,-0.004822,0.002975
0.030000,0.020228,-0.009108,9.835657,-0.007638,0.003968,-0.008204,-0.101471,0.013768,9.743222,0.003348,0.007253,-0.001574,-0.028214,0.036889,9.767479,-0.007561,-0.002113,0.004618
0.040000,0.098350,0.043656,9.770256,-0.003332,-0.008462,0.006105,0.049103,0.086471,9.771282,-0.004887,0.008932,-0.008113,-0.064226,0.055784,9.823177,-0.007048,-0.007455,-0.010904
0.050000,0.095153,0.021739,9.864497,0.004342,-0.006617,0.009897,-0.082505,0.055084,9.846526,-0.004069,-0.009602,0.008296,0.018868,-0.004208,9.879641,-0.003768,-0.005273,0.007059
0.060000,-0.012125,0.095350,9.555514,0.001147,0.022922,0.001726,-0.023618,0.101944,9.789424,0.016151,-0.009545,0.002374,0.007065,0.031229,9.700422,0.004025,0.001746,-0.002307
0.070000,0.048758,0.090525,9.870376,-0.009419,0.017179,0.001589,0.557378,-0.192871,6.945039,-0.005350,-0.045479,0.003625,0.082443,0.082323,9.713976,0.017800,-0.012963,-0.010030
0.080000,-0.230026,0.073353,8.657878,-0.003627,0.033199,0.009847,0.033517,-0.061410,9.850063,0.011044,-0.018079,0.009020,0.182995,0.232494,9.340421,0.023448,-0.025259,0.005775
0.090000,-0.174846,0.125628,9.471018,0.005988,0.034691,0.000631,0.031536,-0.130942,9.997361,0.002277,-0.020143,-0.000048,0.148707,0.343914,8.244177,0.039087,-0.034068,0.002861
0.100000,-0.216051,-0.028096,8.996752,0.004167,0.058601,-0.002657,0.647296,-0.284718,6.298909,-0.017262,-0.043822,0.001838,0.078874,0.231977,9.409511,0.059048,-0.036730,-0.000515
0.110000,-0.321645,0.018108,8.121033,-0.005255,0.072659,-0.005007,0.174458,-0.110488,9.977864,-0.024414,-0.048398,0.010523,0.179609,0.352837,8.405897,0.069854,-0.035622,0.006854
0.120000,-0.282704,0.010988,9.098085,0.008969,0.086334,-0.009778,0.202980,0.045239,10.085320,-0.032186,-0.056923,0.002803,0.215686,0.384478,8.496542,0.074842,-0.047611,0.009896
0.130000,-0.306476,0.024423,8.738810,0.013697,0.093494,-0.008182,0.223785,-0.101685,8.747737,-0.032977,-0.062429,-0.008709,0.165693,0.329019,8.864973,0.089508,-0.055326,0.002758
0.140000,-0.345726,0.028119,8.352327,0.003153,0.106629,-0.001855,0.125313,-0.090485,10.042015,-0.021496,-0.062159,-0.002231,0.146060,0.266990,8.560720,0.105816,-0.063905,0.004727
0.150000,-0.546001,-0.041281,8.596646,0.000566,0.107610,-0.004652,0.394852,-0.058745,7.925742,-0.030261,-0.078339,0.014827,0.260692,0.426413,8.381392,0.112800,-0.063254,-0.000122
0.160000,-0.400794,0.009951,8.674906,-0.005167,0.139184,0.003445,0.234282,0.030162,9.557252,-0.031207,-0.077407,-0.003332,0.200872,0.468006,8.548389,0.121473,-0.082328,-0.007978
0.170000,-0.379184,0.096124,8.506777,0.001914,0.147014,-0.009118,0.401807,-0.153841,8.828792,-0.045426,-0.099148,0.003883,0.193334,0.377426,8.760579,0.146469,-0.090800,0.001842
0.180000,-0.407210,-0.019399,9.042772,0.015546,0.156228,0.007802,0.329511,-0.226783,8.962164,-0.059254,-0.115499,0.009563,0.193321,0.370070,9.366226,0.138681,-0.071080,0.008782
0.190000,-0.279370,-0.058122,9.508152,0.017481,0.169849,0.012156,0.401037,-0.227046,9.041905,-0.056814,-0.112408,0.002917,0.264828,0.403882,9.794278,0.141132,-0.093693,-0.006684
0.200000,-0.512296,-0.056541,9.797431,0.001384,0.158391,-0.007002,0.384499,-0.247218,8.999702,-0.054118,-0.132068,-0.005251,0.211779,0.407706,9.987040,0.154014,-0.096497,0.015523
0.210000,-0.371788,0.066641,10.095401,0.005982,0.160334,-0.001247,0.441518,-0.177513,8.600650,-0.074925,-0.127090,-0.005525,0.102213,0.282532,10.150904,0.156881,-0.092609,0.007134
0.220000,-0.486222,0.006451,10.202635,-0.001042,0.168548,0.009417,0.343949,-0.214200,8.914274,-0.074991,-0.138100,0.014936,0.191001,0.296991,10.249472,0.159343,-0.101797,-0.005745
0.230000,-0.333037,0.063135,10.549666,-0.000716,0.169444,0.007158,0.402029,-0.298857,9.074154,-0.080749,-0.144925,0.000616,0.149542,0.290307,10.765242,0.149575,-0.083640,0.009482
0.240000,-0.231058,0.027503,11.063295,0.003984,0.156341,0.007857,0.195308,-0.231187,9.630079,-0.079963,-0.133854,-0.002948,0.171629,0.243292,11.157800,0.139293,-0.078634,-0.006228
0.250000,-0.188665,-0.013666,11.344821,0.001668,0.145113,0.001520,0.185194,-0.261788,9.975624,-0.078236,-0.143964,0.000768,0.140433,0.125541,11.231195,0.131387,-0.086295,0.001537
0.260000,-0.227210,0.034525,11.251390,-0.005582,0.141788,0.001430,0.235314,-0.277038,10.263880,-0.086301,-0.138928,-0.000075,0.192842,0.216211,11.026126,0.133411,-0.085373,0.009451
0.270000,-0.283365,0.064874,11.044353,-0.001534,0.132876,-0.005566,0.114567,-0.231991,10.370535,-0.104371,-0.140828,-0.007234,0.124451,0.157805,10.842017,0.119119,-0.070357,0.004503
0.280000,-0.248453,-0.029670,10.663230,-0.007896,0.134306,-0.006702,0.244974,-0.185407,10.450598,-0.100929,-0.130437,0.003715,0.088402,0.147693,10.462139,0.119039,-0.067508,-0.009862
0.290000,-0.160984,0.066680,10.344288,-0.003296,0.123330,0.003068,0.253133,-0.192038,10.820425,-0.097831,-0.132950,0.010642,0.177103,0.332047,10.160906,0.121353,-0.067344,0.012802
0.300000,-0.175849,0.029104,10.132997,0.004784,0.122754,0.002082,0.130908,-0.272909,11.067608,-0.092877,-0.106661,0.001584,0.113864,0.330320,9.850858,0.120937,-0.059030,0.019497
0.310000,-0.337373,-0.050176,9.800021,0.016131,0.110656,0.003885,0.236891,-0.206588,11.301296,-0.090294,-0.105359,-0.007912,0.076957,0.277480,9.862812,0.101787,-0.061963,0.000224
0.320000,-0.251356,0.005880,9.997499,0.002074,0.113192,-0.013664,0.210247,-0.145903,11.314475,-0.088007,-0.090817,0.009305,0.027490,0.204179,10.051835,0.094629,-0.068811,0.016403
0.330000,-0.137855,0.088370,10.290023,0.002539,0.100730,0.014056,0.051902,-0.146667,11.299305,-0.079163,-0.079979,0.006556,0.098735,0.189159,10.338703,0.082166,-0.066829,-0.002009
